assembly	contig_id	category
co-1	NODE_1701_length_18914_cov_2_165044	3
co-1	NODE_1756_length_18403_cov_11_263728	3
co-1	NODE_1792_length_18126_cov_1_991837	3
co-1	NODE_198_length_101175_cov_3_025897	3
co-1	NODE_2014_length_16155_cov_1_947368	3
co-1	NODE_2092_length_15579_cov_1_413907	3
co-1	NODE_211_length_97641_cov_5_107535	3
co-1	NODE_216_length_96144_cov_3_140068	3
co-1	NODE_2215_length_14715_cov_3_445259	3
co-1	NODE_2306_length_14083_cov_7_741765	3
co-1	NODE_2314_length_14022_cov_3_031936	3
co-1	NODE_2399_length_13425_cov_2_060198	3
co-1	NODE_2497_length_12829_cov_3_436035	3
co-1	NODE_2575_length_12371_cov_152_679073	3
co-1	NODE_2649_length_12006_cov_38_465635	3
co-1	NODE_2685_length_11884_cov_1_838674	3
co-1	NODE_2715_length_11738_cov_12_334452	3
co-1	NODE_2725_length_11670_cov_1_787205	3
co-1	NODE_2838_length_11221_cov_159_194199	3
co-1	NODE_3174_length_9855_cov_4_734491	3
co-1	NODE_3308_length_9480_cov_1_891358	3
co-1	NODE_3328_length_9417_cov_2_115401	3
co-1	NODE_3387_length_9230_cov_11_895621	3
co-1	NODE_3454_length_9053_cov_3_528207	3
co-1	NODE_3497_length_8927_cov_2_114441	3
co-1	NODE_351_length_69085_cov_3_233013	3
co-1	NODE_3582_length_8664_cov_16_085664	3
co-1	NODE_3590_length_8644_cov_1_846217	3
co-1	NODE_3730_length_8260_cov_1_327724	3
co-1	NODE_3771_length_8168_cov_2_420176	3
co-1	NODE_3774_length_8155_cov_11_887257	3
co-1	NODE_3823_length_8030_cov_1_523322	3
co-1	NODE_3884_length_7898_cov_9_176244	3
co-1	NODE_4054_length_7575_cov_2_213653	3
co-1	NODE_4065_length_7550_cov_2_518369	3
co-1	NODE_4069_length_7541_cov_1_435462	3
co-1	NODE_407_length_62245_cov_4_649535	3
co-1	NODE_4134_length_7436_cov_1_995763	3
co-1	NODE_4246_length_7211_cov_2_913283	3
co-1	NODE_4389_length_6946_cov_2_380548	3
co-1	NODE_4446_length_6869_cov_13_899407	3
co-1	NODE_458_length_55994_cov_8_598872	3
co-1	NODE_4656_length_6496_cov_1_177199	3
co-1	NODE_4804_length_6304_cov_1_408084	3
co-1	NODE_4808_length_6298_cov_9_649296	3
co-1	NODE_4850_length_6232_cov_1_185343	3
co-1	NODE_4899_length_6173_cov_21_545094	3
co-1	NODE_4953_length_6104_cov_1_765748	3
co-1	NODE_4999_length_6055_cov_2_621631	3
co-1	NODE_5075_length_5945_cov_4_291452	3
co-1	NODE_5082_length_5939_cov_2_130241	3
co-1	NODE_5090_length_5925_cov_5_114364	3
co-1	NODE_5193_length_5808_cov_1_640359	3
co-1	NODE_5205_length_5786_cov_32_015352	3
co-1	NODE_527_length_50679_cov_15_785186	3
co-1	NODE_554_length_48613_cov_11_685178	3
co-1	NODE_555_length_48424_cov_16_540834	3
co-1	NODE_5567_length_5398_cov_1_198522	3
co-1	NODE_5753_length_5222_cov_1_350774	3
co-1	NODE_5758_length_5217_cov_1_092585	3
co-1	NODE_5772_length_5204_cov_70_841298	3
co-1	NODE_5828_length_5157_cov_2_017864	3
co-1	NODE_5857_length_5127_cov_1_866414	3
co-1	NODE_5872_length_5106_cov_1_697213	3
co-1	NODE_5898_length_5075_cov_5_586562	3
co-1	NODE_5946_length_5024_cov_2_243833	3
co-1	NODE_5966_length_5009_cov_18_692025	3
co-1	NODE_6082_length_4903_cov_1_484741	3
co-1	NODE_6163_length_4841_cov_1_638077	3
co-1	NODE_621_length_44329_cov_2_737842	3
co-1	NODE_6288_length_4735_cov_11_560659	3
co-1	NODE_641_length_43304_cov_2_257265	3
co-1	NODE_645_length_43142_cov_1_903168	3
co-1	NODE_6555_length_4547_cov_1_046070	3
co-1	NODE_6625_length_4500_cov_2_111847	3
co-1	NODE_692_length_40577_cov_7_256983	3
co-1	NODE_7057_length_4226_cov_47_560993	3
co-1	NODE_7196_length_4138_cov_6_714606	3
co-1	NODE_7256_length_4106_cov_1_526712	3
co-1	NODE_7485_length_3970_cov_3_065957	3
co-1	NODE_7497_length_3963_cov_1_261446	3
co-1	NODE_7503_length_3962_cov_0_956024	3
co-1	NODE_782_length_37139_cov_12_063776	3
co-1	NODE_8910_length_3332_cov_0_924992	3
co-1	NODE_42_length_234871_cov_9_280296	4
co-1	NODE_110_length_146068_cov_7_407451	5
co-1	NODE_1193_length_26395_cov_3_607779	5
co-1	NODE_11_length_497800_cov_17_214342	5
co-1	NODE_168_length_113092_cov_517_780195	5
co-1	NODE_174_length_109900_cov_16_029386	5
co-1	NODE_195_length_102182_cov_4_833720	5
co-1	NODE_417_length_60434_cov_11_688353	5
co-1	NODE_550_length_48889_cov_3_275333	5
co-1	NODE_605_length_45180_cov_3_423027	5
co-1	NODE_654_length_42494_cov_4_875139	5
co-1	NODE_67_length_186781_cov_11_833507	5
co-1	NODE_720_length_39378_cov_117_842074	5
co-1	NODE_78_length_173071_cov_12_863292	5
co-1	NODE_820_length_35768_cov_10_111279	5
co-1	NODE_920_length_32361_cov_46_149681	5
co-1	NODE_1016_length_30026_cov_11_083358	6
co-1	NODE_1108_length_27955_cov_3_366288	6
co-1	NODE_1115_length_27807_cov_13_685676	6
co-1	NODE_125_length_139225_cov_10_750248	6
co-1	NODE_125_length_139225_cov_10_750248	6
co-1	NODE_1303_length_24605_cov_2_231112	6
co-1	NODE_1389_length_23131_cov_2_098079	6
co-1	NODE_1591_length_20096_cov_3_223257	6
co-1	NODE_1688_length_19033_cov_1_891985	6
co-1	NODE_1789_length_18148_cov_4_562982	6
co-1	NODE_183_length_107080_cov_2_878507	6
co-1	NODE_1_length_1722015_cov_5_249182	6
co-1	NODE_2068_length_15725_cov_11_941561	6
co-1	NODE_2158_length_15131_cov_109_763922	6
co-1	NODE_2383_length_13546_cov_4_360095	6
co-1	NODE_24_length_341592_cov_22_453775	6
co-1	NODE_2545_length_12494_cov_2_867556	6
co-1	NODE_25_length_341551_cov_4_674213	6
co-1	NODE_25_length_341551_cov_4_674213	6
co-1	NODE_25_length_341551_cov_4_674213	6
co-1	NODE_271_length_83157_cov_2_523772	6
co-1	NODE_279_length_82004_cov_12_962240	6
co-1	NODE_285_length_81005_cov_5_031897	6
co-1	NODE_28_length_301201_cov_3_431833	6
co-1	NODE_316_length_73801_cov_7_810537	6
co-1	NODE_340_length_70612_cov_10_639893	6
co-1	NODE_361_length_67766_cov_595_885982	6
co-1	NODE_3900_length_7867_cov_1_638745	6
co-1	NODE_40_length_246982_cov_5_195015	6
co-1	NODE_41_length_244250_cov_4_683940	6
co-1	NODE_42_length_234871_cov_9_280296	6
co-1	NODE_42_length_234871_cov_9_280296	6
co-1	NODE_447_length_57357_cov_11_979734	6
co-1	NODE_450_length_57182_cov_2_927116	6
co-1	NODE_470_length_54998_cov_2_360794	6
co-1	NODE_525_length_50728_cov_3_997155	6
co-1	NODE_610_length_44927_cov_15_300214	6
co-1	NODE_61_length_200460_cov_3_680844	6
co-1	NODE_62_length_200201_cov_3_540438	6
co-1	NODE_877_length_34029_cov_6_887644	6
co-1	NODE_8_length_597403_cov_17_797023	6
co-1	NODE_965_length_31086_cov_2_077017	6
co-1	NODE_974_length_30867_cov_1_744211	6
co-1	NODE_995_length_30476_cov_193_498864	6
co-1	NODE_99_length_152054_cov_5_158620	6
co-2	NODE_2647_length_9099_cov_1_714588	1
co-2	NODE_2863_length_8439_cov_1_975721	1
co-2	NODE_3402_length_7308_cov_24_563361	1
co-2	NODE_3437_length_7254_cov_1_436160	1
co-2	NODE_3604_length_6994_cov_1_294400	1
co-2	NODE_3685_length_6851_cov_17_089275	1
co-2	NODE_4126_length_6248_cov_1_578398	1
co-2	NODE_4327_length_5989_cov_10_146848	1
co-2	NODE_4789_length_5531_cov_26_394124	1
co-2	NODE_5184_length_5172_cov_4_953295	1
co-2	NODE_5298_length_5085_cov_2_115586	1
co-2	NODE_5510_length_4941_cov_2_665491	1
co-2	NODE_6923_length_4076_cov_2_185494	1
co-2	NODE_6937_length_4070_cov_1_636295	1
co-2	NODE_7454_length_3863_cov_4_673878	1
co-2	NODE_8054_length_3641_cov_1_369392	1
co-2	NODE_8968_length_3366_cov_3_389898	1
co-2	NODE_10229_length_3044_cov_1_178803	2
co-2	NODE_1042_length_19663_cov_1_956355	2
co-2	NODE_1059_length_19376_cov_1_870748	2
co-2	NODE_1094_length_18860_cov_3_001014	2
co-2	NODE_1109_length_18568_cov_2_088297	2
co-2	NODE_1113_length_18547_cov_1_326677	2
co-2	NODE_1158_length_17936_cov_5_297862	2
co-2	NODE_1164_length_17824_cov_1_912962	2
co-2	NODE_1170_length_17767_cov_5_196736	2
co-2	NODE_1233_length_17160_cov_5_784461	2
co-2	NODE_1245_length_16983_cov_608_903819	2
co-2	NODE_1246_length_16983_cov_3_840963	2
co-2	NODE_1416_length_15230_cov_1_729336	2
co-2	NODE_1435_length_15129_cov_3_311726	2
co-2	NODE_1436_length_15107_cov_1_295436	2
co-2	NODE_1508_length_14531_cov_1_849153	2
co-2	NODE_1618_length_13717_cov_1_488454	2
co-2	NODE_170_length_77369_cov_18_580246	2
co-2	NODE_1899_length_11946_cov_1_804684	2
co-2	NODE_2000_length_11423_cov_4_647647	2
co-2	NODE_202_length_69332_cov_4_946498	2
co-2	NODE_2193_length_10624_cov_2_022275	2
co-2	NODE_2353_length_10006_cov_1_518459	2
co-2	NODE_2490_length_9545_cov_1_585720	2
co-2	NODE_2596_length_9212_cov_1_682833	2
co-2	NODE_2604_length_9190_cov_1_545475	2
co-2	NODE_2617_length_9173_cov_1_869450	2
co-2	NODE_2686_length_8977_cov_4_230075	2
co-2	NODE_2899_length_8369_cov_1_866667	2
co-2	NODE_2933_length_8298_cov_1_728329	2
co-2	NODE_3172_length_7718_cov_1_633504	2
co-2	NODE_319_length_49208_cov_24_792438	2
co-2	NODE_3387_length_7340_cov_1_341365	2
co-2	NODE_360_length_44671_cov_3_812332	2
co-2	NODE_3766_length_6720_cov_1_592637	2
co-2	NODE_3807_length_6653_cov_1_728344	2
co-2	NODE_3829_length_6623_cov_1_594403	2
co-2	NODE_4005_length_6398_cov_1_865424	2
co-2	NODE_407_length_40718_cov_89_209513	2
co-2	NODE_409_length_40604_cov_2_237989	2
co-2	NODE_4210_length_6127_cov_5_832390	2
co-2	NODE_456_length_37409_cov_3_187369	2
co-2	NODE_4636_length_5671_cov_2_951369	2
co-2	NODE_4693_length_5619_cov_36_560545	2
co-2	NODE_4818_length_5504_cov_2_592943	2
co-2	NODE_4879_length_5441_cov_27_573281	2
co-2	NODE_4927_length_5399_cov_3_047727	2
co-2	NODE_5011_length_5327_cov_0_945469	2
co-2	NODE_502_length_34317_cov_5_992163	2
co-2	NODE_529_length_33122_cov_24_089749	2
co-2	NODE_5598_length_4885_cov_2_701007	2
co-2	NODE_5700_length_4806_cov_0_872413	2
co-2	NODE_5925_length_4648_cov_259_466991	2
co-2	NODE_6253_length_4434_cov_1_840093	2
co-2	NODE_652_length_28617_cov_1_965577	2
co-2	NODE_685_length_27898_cov_18_971921	2
co-2	NODE_7074_length_4020_cov_1_154063	2
co-2	NODE_7087_length_4014_cov_88_505263	2
co-2	NODE_7158_length_3987_cov_0_988625	2
co-2	NODE_749_length_25933_cov_3_841017	2
co-2	NODE_7506_length_3841_cov_1_782106	2
co-2	NODE_7565_length_3819_cov_1_765135	2
co-2	NODE_7577_length_3812_cov_6_181966	2
co-2	NODE_7587_length_3810_cov_2_754267	2
co-2	NODE_7708_length_3761_cov_41_169687	2
co-2	NODE_7722_length_3757_cov_1_147883	2
co-2	NODE_7755_length_3746_cov_8_921423	2
co-2	NODE_7763_length_3744_cov_1_038621	2
co-2	NODE_806_length_24802_cov_1_898108	2
co-2	NODE_8346_length_3552_cov_1_030877	2
co-2	NODE_842_length_23652_cov_10_199125	2
co-2	NODE_8702_length_3442_cov_1_140837	2
co-2	NODE_874_length_22874_cov_1_821226	2
co-2	NODE_896_length_22344_cov_5_560855	2
co-2	NODE_900_length_22274_cov_1_476190	2
co-2	NODE_9221_length_3288_cov_1_691701	2
co-2	NODE_9236_length_3284_cov_1_791153	2
co-2	NODE_1021_length_19939_cov_1_994299	3
co-2	NODE_10314_length_3026_cov_1_056416	3
co-2	NODE_105_length_109289_cov_2_359613	3
co-2	NODE_106_length_108410_cov_90_673380	3
co-2	NODE_1134_length_18246_cov_6_291168	3
co-2	NODE_1368_length_15609_cov_4_364235	3
co-2	NODE_1370_length_15603_cov_585_424309	3
co-2	NODE_1412_length_15280_cov_23_186663	3
co-2	NODE_1439_length_15098_cov_1_826757	3
co-2	NODE_1453_length_14981_cov_4_871686	3
co-2	NODE_1593_length_13925_cov_2_083007	3
co-2	NODE_1633_length_13581_cov_1_951939	3
co-2	NODE_166_length_79405_cov_18_102528	3
co-2	NODE_171_length_76113_cov_20_043688	3
co-2	NODE_1724_length_13039_cov_1_688467	3
co-2	NODE_1890_length_11987_cov_1_272413	3
co-2	NODE_2025_length_11306_cov_38_604541	3
co-2	NODE_2029_length_11301_cov_2_569487	3
co-2	NODE_205_length_68669_cov_2_139314	3
co-2	NODE_2145_length_10883_cov_9_780286	3
co-2	NODE_2306_length_10180_cov_249_448663-circula	3
co-2	NODE_2369_length_9955_cov_4_780907	3
co-2	NODE_2442_length_9708_cov_1_381062	3
co-2	NODE_2448_length_9693_cov_2_088260	3
co-2	NODE_2496_length_9531_cov_4_001275	3
co-2	NODE_262_length_57465_cov_17_773132	3
co-2	NODE_2642_length_9102_cov_1_398308	3
co-2	NODE_2763_length_8733_cov_1_301718	3
co-2	NODE_2802_length_8619_cov_1_175882	3
co-2	NODE_2816_length_8570_cov_4_449888	3
co-2	NODE_2888_length_8388_cov_1_248519	3
co-2	NODE_2911_length_8351_cov_1_752430	3
co-2	NODE_3045_length_7981_cov_1_324854	3
co-2	NODE_317_length_49472_cov_18_821389	3
co-2	NODE_326_length_48390_cov_17_921112	3
co-2	NODE_3270_length_7518_cov_1_928774	3
co-2	NODE_332_length_48064_cov_19_808697	3
co-2	NODE_3462_length_7210_cov_1_519250-circula	3
co-2	NODE_349_length_46335_cov_2_144214	3
co-2	NODE_3561_length_7043_cov_1_033073	3
co-2	NODE_3615_length_6982_cov_7_104473	3
co-2	NODE_376_length_43625_cov_19_863099	3
co-2	NODE_3775_length_6708_cov_10_270906	3
co-2	NODE_3938_length_6482_cov_1_537482	3
co-2	NODE_4029_length_6362_cov_1_963159	3
co-2	NODE_4122_length_6255_cov_1_805085	3
co-2	NODE_4243_length_6093_cov_1_605792	3
co-2	NODE_4330_length_5988_cov_1_565854	3
co-2	NODE_4367_length_5948_cov_14_528907	3
co-2	NODE_4380_length_5936_cov_1_323706	3
co-2	NODE_445_length_37887_cov_2_094313	3
co-2	NODE_4544_length_5759_cov_1_500355	3
co-2	NODE_4634_length_5672_cov_2_633171	3
co-2	NODE_466_length_37058_cov_4_562793	3
co-2	NODE_46_length_197835_cov_20_859440	3
co-2	NODE_4888_length_5433_cov_2_314076	3
co-2	NODE_520_length_33483_cov_17_169764	3
co-2	NODE_546_length_32333_cov_18_834016	3
co-2	NODE_5664_length_4835_cov_1_551951	3
co-2	NODE_5758_length_4765_cov_3_105037	3
co-2	NODE_5921_length_4651_cov_1_877538	3
co-2	NODE_6243_length_4440_cov_1_470724	3
co-2	NODE_6257_length_4432_cov_1_824252	3
co-2	NODE_628_length_29326_cov_5_385387	3
co-2	NODE_635_length_29041_cov_20_242411	3
co-2	NODE_6577_length_4258_cov_0_886929	3
co-2	NODE_694_length_27477_cov_161_150596	3
co-2	NODE_71_length_147670_cov_19_978834	3
co-2	NODE_7757_length_3746_cov_0_859664	3
co-2	NODE_8215_length_3597_cov_1_426107	3
co-2	NODE_8501_length_3502_cov_2_053207	3
co-2	NODE_850_length_23474_cov_19_108799	3
co-2	NODE_9027_length_3346_cov_2_521847	3
co-2	NODE_9059_length_3335_cov_1_855721	3
co-2	NODE_908_length_22094_cov_2_460068	3
co-2	NODE_94_length_118098_cov_17_669187	3
co-2	NODE_116_length_100730_cov_5_991194	5
co-2	NODE_121_length_99112_cov_5_998141	5
co-2	NODE_1437_length_15102_cov_2_200761	5
co-2	NODE_204_length_69084_cov_16_327818	5
co-2	NODE_2057_length_11201_cov_33_367623	5
co-2	NODE_23_length_301201_cov_16_725746	5
co-2	NODE_259_length_57871_cov_9_608741	5
co-2	NODE_286_length_54000_cov_12_123383	5
co-2	NODE_371_length_43757_cov_2_890692	5
co-2	NODE_41_length_217023_cov_16_386328	5
co-2	NODE_6_length_716920_cov_10_691497	5
co-2	NODE_790_length_25083_cov_2_182303	5
co-2	NODE_1030_length_19812_cov_6_997969	6
co-2	NODE_119_length_99717_cov_5_717735	6
co-2	NODE_1333_length_15959_cov_1_722538	6
co-2	NODE_140_length_88422_cov_5_926990	6
co-2	NODE_154_length_83613_cov_21_456584	6
co-2	NODE_210_length_67333_cov_88_070268	6
co-2	NODE_228_length_63996_cov_4_417599	6
co-2	NODE_282_length_54199_cov_8_540662	6
co-2	NODE_283_length_54168_cov_6_067032	6
co-2	NODE_312_length_49964_cov_83_377229	6
co-2	NODE_329_length_48189_cov_31_004743	6
co-2	NODE_33_length_246064_cov_20_657297	6
co-2	NODE_34_length_241511_cov_5_831734	6
co-2	NODE_45_length_200046_cov_4_425470	6
co-2	NODE_51_length_188419_cov_4_339145	6
co-2	NODE_531_length_33051_cov_18_020132	6
co-2	NODE_559_length_31877_cov_5_509258	6
co-2	NODE_604_length_29934_cov_10_474795	6
co-2	NODE_64_length_156002_cov_20_293137	6
co-2	NODE_77_length_137970_cov_4_309929	6
co-2	NODE_830_length_23911_cov_4_290224	6
co-2	NODE_981_length_20554_cov_84_094201	6
co-3	NODE_10335_length_4941_cov_265_410618	1
co-3	NODE_11266_length_4593_cov_2_753241	1
co-3	NODE_12205_length_4284_cov_5_372869	1
co-3	NODE_12381_length_4237_cov_1_488344	1
co-3	NODE_12412_length_4231_cov_1_011916	1
co-3	NODE_12778_length_4130_cov_4_398903	1
co-3	NODE_12902_length_4097_cov_1_535445	1
co-3	NODE_12958_length_4080_cov_3_944458	1
co-3	NODE_13013_length_4066_cov_346_435774	1
co-3	NODE_13577_length_3915_cov_9_110116	1
co-3	NODE_13821_length_3854_cov_1_247390	1
co-3	NODE_15245_length_3539_cov_3_228363	1
co-3	NODE_15918_length_3405_cov_7_097383	1
co-3	NODE_17652_length_3134_cov_0_932670	1
co-3	NODE_2435_length_17980_cov_3_791277	1
co-3	NODE_2510_length_17570_cov_6_940519	1
co-3	NODE_3499_length_13249_cov_232_685910	1
co-3	NODE_4771_length_10033_cov_46_880270	1
co-3	NODE_487_length_69239_cov_4_809086-circula	1
co-3	NODE_5310_length_9101_cov_1_557560	1
co-3	NODE_5996_length_8106_cov_2_469889	1
co-3	NODE_6223_length_7851_cov_2_460166	1
co-3	NODE_6388_length_7660_cov_4_739557	1
co-3	NODE_6699_length_7346_cov_2_269683	1
co-3	NODE_7412_length_6697_cov_7_744603	1
co-3	NODE_7687_length_6489_cov_1_277080	1
co-3	NODE_7914_length_6317_cov_2_690384	1
co-3	NODE_9165_length_5508_cov_1_238078	1
co-3	NODE_922_length_40463_cov_134_544616	1
co-3	NODE_9979_length_5096_cov_2_833434	1
co-3	NODE_1004_length_37391_cov_2_733044-circula	2
co-3	NODE_1011_length_37049_cov_17_697400	2
co-3	NODE_10181_length_5005_cov_3_705894	2
co-3	NODE_10399_length_4915_cov_4_908674	2
co-3	NODE_10406_length_4912_cov_5_764448	2
co-3	NODE_10417_length_4907_cov_1_498747	2
co-3	NODE_10462_length_4891_cov_1_891869	2
co-3	NODE_1052_length_35676_cov_16_446551	2
co-3	NODE_10594_length_4836_cov_1_919016	2
co-3	NODE_10912_length_4713_cov_0_914454	2
co-3	NODE_11109_length_4648_cov_255_686465	2
co-3	NODE_1110_length_34084_cov_4_713646	2
co-3	NODE_11184_length_4620_cov_1_946012	2
co-3	NODE_1120_length_33832_cov_2_243853	2
co-3	NODE_11537_length_4504_cov_1_580616	2
co-3	NODE_11735_length_4435_cov_52_781047	2
co-3	NODE_11787_length_4416_cov_6_165930	2
co-3	NODE_1182_length_32286_cov_119_617621	2
co-3	NODE_11946_length_4368_cov_0_849376	2
co-3	NODE_12052_length_4331_cov_0_996439	2
co-3	NODE_1274_length_30268_cov_231_853793	2
co-3	NODE_12989_length_4073_cov_1_859383	2
co-3	NODE_12991_length_4072_cov_42_847205	2
co-3	NODE_1324_length_29370_cov_2_431883	2
co-3	NODE_13264_length_3999_cov_1_690979	2
co-3	NODE_13399_length_3962_cov_1_695811	2
co-3	NODE_1352_length_28827_cov_16_952139	2
co-3	NODE_1354_length_28796_cov_8_231475	2
co-3	NODE_13597_length_3913_cov_0_947285	2
co-3	NODE_13752_length_3873_cov_1_759723	2
co-3	NODE_1397_length_28207_cov_3_822664	2
co-3	NODE_14014_length_3810_cov_4_743701	2
co-3	NODE_14244_length_3765_cov_1_879046	2
co-3	NODE_14245_length_3765_cov_1_254251	2
co-3	NODE_14319_length_3744_cov_1_307310	2
co-3	NODE_14499_length_3697_cov_1_148686	2
co-3	NODE_14612_length_3675_cov_1_091114	2
co-3	NODE_14626_length_3671_cov_1_514077	2
co-3	NODE_1463_length_27255_cov_2_063642	2
co-3	NODE_14662_length_3665_cov_1_418218	2
co-3	NODE_1478_length_27039_cov_53_709733	2
co-3	NODE_14814_length_3633_cov_2_981218	2
co-3	NODE_14958_length_3601_cov_1_051982	2
co-3	NODE_15390_length_3513_cov_3_314968	2
co-3	NODE_15832_length_3422_cov_4_315471	2
co-3	NODE_16146_length_3367_cov_0_979064	2
co-3	NODE_16217_length_3355_cov_14_248455	2
co-3	NODE_1636_length_24810_cov_1_636953	2
co-3	NODE_16408_length_3325_cov_1_703369	2
co-3	NODE_16772_length_3267_cov_1_287484	2
co-3	NODE_17309_length_3182_cov_0_932746	2
co-3	NODE_1736_length_23632_cov_10_604091	2
co-3	NODE_1743_length_23569_cov_1_772239	2
co-3	NODE_1758_length_23485_cov_3_628862	2
co-3	NODE_17678_length_3130_cov_0_917635	2
co-3	NODE_1768_length_23410_cov_1_976686	2
co-3	NODE_17747_length_3119_cov_0_902667	2
co-3	NODE_17944_length_3094_cov_77_676303	2
co-3	NODE_18506_length_3025_cov_0_927736	2
co-3	NODE_18523_length_3023_cov_0_930441	2
co-3	NODE_1889_length_22143_cov_2_343943	2
co-3	NODE_1994_length_21174_cov_11_315697	2
co-3	NODE_2005_length_21010_cov_4_637930	2
co-3	NODE_2039_length_20672_cov_49_272564	2
co-3	NODE_2084_length_20221_cov_2_173814	2
co-3	NODE_2111_length_20021_cov_3_560999	2
co-3	NODE_2112_length_20021_cov_1_890614	2
co-3	NODE_2165_length_19671_cov_34_938472	2
co-3	NODE_2191_length_19519_cov_2_734691	2
co-3	NODE_2252_length_19138_cov_3_160313	2
co-3	NODE_2322_length_18651_cov_2_123840	2
co-3	NODE_2333_length_18581_cov_6_891019	2
co-3	NODE_2365_length_18430_cov_12_639069	2
co-3	NODE_2443_length_17931_cov_3_699079	2
co-3	NODE_2549_length_17347_cov_7_988333	2
co-3	NODE_2676_length_16602_cov_1_527271	2
co-3	NODE_2794_length_15997_cov_9_815279	2
co-3	NODE_2865_length_15702_cov_3_111339	2
co-3	NODE_2966_length_15198_cov_3_081305	2
co-3	NODE_2978_length_15131_cov_17_966027	2
co-3	NODE_3021_length_14985_cov_41_316427	2
co-3	NODE_302_length_106480_cov_5_995421	2
co-3	NODE_3063_length_14830_cov_71_335531	2
co-3	NODE_3095_length_14684_cov_8_573910	2
co-3	NODE_3168_length_14385_cov_3_945675	2
co-3	NODE_3177_length_14359_cov_9_798596	2
co-3	NODE_3236_length_14160_cov_2_358949	2
co-3	NODE_3254_length_14091_cov_16_729960	2
co-3	NODE_3454_length_13404_cov_7_816334	2
co-3	NODE_354_length_91928_cov_8_689170	2
co-3	NODE_3563_length_13057_cov_1_663163	2
co-3	NODE_3618_length_12851_cov_1_214577	2
co-3	NODE_3658_length_12741_cov_4_180875	2
co-3	NODE_3670_length_12714_cov_1_866693	2
co-3	NODE_3682_length_12678_cov_2_316188	2
co-3	NODE_3686_length_12675_cov_21_233753	2
co-3	NODE_3733_length_12554_cov_1_669964	2
co-3	NODE_3752_length_12525_cov_5_819684	2
co-3	NODE_3961_length_11979_cov_8_183895	2
co-3	NODE_3975_length_11931_cov_7_149763	2
co-3	NODE_4020_length_11811_cov_2_306107	2
co-3	NODE_4137_length_11510_cov_1_524010	2
co-3	NODE_4224_length_11256_cov_5_387447	2
co-3	NODE_4309_length_11068_cov_8_988492	2
co-3	NODE_4361_length_10940_cov_2_691064	2
co-3	NODE_4495_length_10660_cov_1_283085	2
co-3	NODE_4640_length_10325_cov_12_440819	2
