seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
virus--3300007640_____Ga0070751_1000292||full	1.000	0.667	1.000	dsDNAphage	33693	4	71.700	0.000
virus--3300007654_____Ga0105017_100358||full	1.000	0.273	1.000	dsDNAphage	35502	10	70.700	0.000
virus--3300007795_____Ga0105644_100077||full	1.000	0.087	1.000	dsDNAphage	61117	6	89.500	1.300
virus--3300007806_____Ga0105890_100137||full	1.000	0.407	1.000	dsDNAphage	90819	2	67.800	0.000
virus--3300007876_____Ga0111087_100010||full	0.993	0.007	0.993	dsDNAphage	42334	6	37.300	5.100
virus--3300007931_____Ga0113985_100015||full	1.000	0.173	1.000	dsDNAphage	57049	12	94.800	0.000
virus--3300008050_____Ga0098052_1000227||full	1.000	0.007	1.000	dsDNAphage	34397	2	52.300	2.300
virus--3300008060_____Ga0114177_100452||full	0.993	0.000	0.993	dsDNAphage	44211	12	52.500	3.300
virus--3300008095_____Ga0100392_1000127||full	1.000	0.040	1.000	dsDNAphage	77951	4	27.700	1.500
virus--3300008099_____Ga0114261_100724||full	1.000	0.013	1.000	dsDNAphage	16029	4	48.000	4.000
virus--3300008216_____Ga0114898_1000279||full	1.000	0.060	1.000	dsDNAphage	42630	7	44.100	1.500
virus--3300008219_____Ga0114905_1000112||full	1.000	0.013	1.000	dsDNAphage	58584	4	36.700	1.300
virus--3300008255_____Ga0100403_1000277||full	0.987	0.007	0.987	dsDNAphage	47768	4	22.600	4.800
virus--3300008255_____Ga0100403_1000409||full	0.987	0.180	0.987	dsDNAphage	42257	2	29.600	0.000
virus--3300008255_____Ga0100403_1000550||full	1.000	0.040	1.000	dsDNAphage	36993	2	31.000	2.400
virus--3300008255_____Ga0100403_1000574||full	1.000	0.873	1.000	dsDNAphage	36421	2	33.300	0.000
virus--3300008279_____Ga0114263_1000108||full	1.000	0.120	1.000	dsDNAphage	48284	14	52.900	1.400
virus--3300008412_____Ga0115193_1000144||full	1.000	0.093	1.000	dsDNAphage	47136	1	40.000	1.400
virus--3300008436_____Ga0115418_100200||full	1.000	0.260	1.000	dsDNAphage	58383	12	95.600	0.000
virus--3300008485_____Ga0110912_100076||full	1.000	0.020	1.000	dsDNAphage	35285	4	35.600	3.400
virus--3300008522_____Ga0111045_100010||full	1.000	0.080	1.000	dsDNAphage	117944	14	44.900	0.000
virus--3300008541_____Ga0111054_100299||full	0.993	0.013	0.993	dsDNAphage	41671	3	46.900	2.000
virus--3300008615_____Ga0111231_1000062||full	1.000	0.007	1.000	dsDNAphage	39899	3	31.000	3.400
virus--3300008636_____Ga0111420_100019||full	0.953	0.087	0.953	dsDNAphage	234701	11	90.200	0.400
virus--3300008639_____Ga0115685_1000013||full	0.993	0.153	0.993	dsDNAphage	169687	1	62.700	0.700
virus--3300008643_____Ga0111423_100005||full	0.987	0.000	0.987	dsDNAphage	175490	12	39.600	5.700
virus--3300008739_____Ga0114021_100008||full	0.987	0.040	0.987	dsDNAphage	228467	15	57.400	1.200
virus--3300009079_____Ga0102814_10000255||full	1.000	0.187	1.000	dsDNAphage	38631	2	50.000	0.000
virus--3300009085_____Ga0105103_10000151||full	1.000	0.173	1.000	dsDNAphage	37024	2	29.400	0.000
virus--3300009146_____Ga0105091_10000036||full	0.993	0.033	0.993	dsDNAphage	42443	2	44.400	1.600
virus--3300009157_____Ga0105092_10000060||full	0.973	0.000	0.973	dsDNAphage	48039	2	14.300	3.200
virus--3300009158_____Ga0114977_10001451||full	1.000	0.507	1.000	dsDNAphage	15445	3	78.300	0.000
virus--3300009160_____Ga0114981_10000352||full	0.993	0.580	0.993	dsDNAphage	29684	6	70.200	0.000
virus--3300009164_____Ga0114975_10000299||full	1.000	0.700	1.000	dsDNAphage	36776	2	35.500	0.000
virus--3300009176_____Ga0105242_10000074||full	0.973	0.000	0.973	dsDNAphage	70023	6	16.800	2.000
virus--3300009176_____Ga0105242_10000157||full	1.000	0.033	1.000	dsDNAphage	50469	4	46.200	0.000
virus--3300009496_____Ga0115570_10000038||full	0.993	0.133	0.993	dsDNAphage	92084	8	41.300	1.000
virus--3300009502_____Ga0114951_10000321||full	0.993	0.413	0.993	dsDNAphage	69081	6	41.800	1.000
virus--3300009502_____Ga0114951_10000805||full	0.987	0.000	0.987	dsDNAphage	41887	4	33.300	3.900
virus--3300009502_____Ga0114951_10003308||full	0.973	0.433	0.973	dsDNAphage	16672	0	27.800	0.000
virus--3300009519_____Ga0116108_1000036||full	0.980	0.000	0.980	dsDNAphage	129046	3	22.400	7.700
virus--3300009540_____Ga0073899_10000404||full	1.000	0.020	1.000	dsDNAphage	39685	5	29.000	1.400
virus--3300009545_____Ga0105237_10000329||full	0.993	0.033	0.993	dsDNAphage	66814	8	22.900	1.700
virus--3300009545_____Ga0105237_10000694||full	0.993	0.020	0.993	dsDNAphage	46426	2	28.800	1.500
virus--3300009551_____Ga0105238_10000067||full	1.000	0.013	1.000	dsDNAphage	119288	3	19.800	2.400
virus--3300009602_____Ga0114900_1000171||full	0.993	0.007	0.993	dsDNAphage	57694	4	36.100	1.400
virus--3300009605_____Ga0114906_1000141||full	0.993	0.000	0.993	dsDNAphage	42476	2	18.400	2.000
virus--3300009610_____Ga0105340_1000053||full	1.000	0.513	1.000	dsDNAphage	49148	3	42.900	0.000
virus--3300009673_____Ga0116185_1001225||full	1.000	0.740	1.000	dsDNAphage	26183	8	50.000	0.000
virus--3300009684_____Ga0114958_10000404||full	1.000	0.173	1.000	dsDNAphage	36571	4	27.900	0.000
virus--3300009684_____Ga0114958_10000430||full	1.000	0.507	1.000	dsDNAphage	35612	6	51.400	0.000
virus--3300009706_____Ga0115002_10000581||full	1.000	0.027	1.000	dsDNAphage	51095	3	32.900	3.900
virus--3300009710_____Ga0116192_1000166||full	0.987	0.000	0.987	dsDNAphage	51947	5	41.100	4.100
virus--3300009788_____Ga0114923_10000239||full	0.993	0.000	0.993	dsDNAphage	45737	6	36.800	7.000
virus--3300009838_____Ga0116153_10000701||full	1.000	0.593	1.000	dsDNAphage	38509	2	22.900	0.000
virus--3300009838_____Ga0116153_10000717||full	1.000	0.060	1.000	dsDNAphage	38028	4	29.200	1.500
virus--3300010282_____Ga0129307_1000087||full	1.000	0.027	1.000	dsDNAphage	147282	6	43.600	1.500
virus--3300010331_____Ga0123336_10000307||full	1.000	0.067	1.000	dsDNAphage	50531	4	38.500	0.000
virus--3300010354_____Ga0129333_10000130||full	1.000	0.073	1.000	dsDNAphage	49109	12	64.600	1.500
virus--3300010399_____Ga0134127_10000367||full	0.980	0.053	0.980	dsDNAphage	44891	13	72.900	1.700
virus--3300011403_____Ga0137313_1000015||full	0.973	0.000	0.973	dsDNAphage	56682	4	19.400	3.200
virus--3300011405_____Ga0137340_1000022||full	0.980	0.013	0.980	dsDNAphage	44422	7	40.900	2.300
virus--3300011409_____Ga0137323_1000012||full	0.973	0.000	0.973	dsDNAphage	56682	4	19.400	3.200
virus--3300011432_____Ga0137428_1000083||full	0.973	0.000	0.973	dsDNAphage	45845	7	47.900	8.500
virus--3300011435_____Ga0137426_1000025||full	0.993	0.000	0.993	dsDNAphage	47629	7	28.800	6.100
virus--3300011441_____Ga0137452_1000069||full	0.980	0.000	0.980	dsDNAphage	39553	2	22.600	9.400
virus--3300011443_____Ga0137457_1000025||full	0.993	0.000	0.993	dsDNAphage	43591	2	41.000	3.300
virus--3300011445_____Ga0137427_10000078||full	1.000	0.020	1.000	dsDNAphage	49936	3	33.300	3.300
virus--3300011585_____Ga0121720_100037||full	0.993	0.013	0.993	dsDNAphage	42966	10	46.700	5.000
virus--3300012143_____Ga0137354_1000003||full	0.993	0.033	0.993	dsDNAphage	46362	6	45.700	0.000
virus--3300012219_____Ga0118598_100001||full	1.000	0.193	1.000	dsDNAphage	40871	7	42.000	0.000
virus--3300012232_____Ga0137435_1000083||full	1.000	0.053	1.000	dsDNAphage	39155	2	13.800	0.000
virus--3300012361_____Ga0137360_10000024||full	0.967	0.000	0.967	dsDNAphage	97114	9	26.700	6.100
virus--3300012369_____Ga0118621_10004||full	1.000	0.013	1.000	dsDNAphage	36858	5	49.100	1.900
virus--3300012423_____Ga0118363_10001||full	1.000	0.193	1.000	dsDNAphage	40870	7	42.000	0.000
virus--3300012429_____Ga0118642_100001||full	1.000	0.193	1.000	dsDNAphage	40965	7	42.000	0.000
virus--3300012545_____Ga0118075_10057||full	1.000	0.167	1.000	dsDNAphage	47039	10	41.300	0.000
virus--3300012662_____Ga0116619_1000153||full	1.000	0.060	1.000	dsDNAphage	34170	10	55.000	3.300
virus--3300012683_____Ga0137398_10000002||full	1.000	0.207	1.000	dsDNAphage	70789	3	49.000	0.000
virus--3300012917_____Ga0137395_10000018||full	0.987	0.007	0.987	dsDNAphage	42965	4	23.800	4.800
virus--3300012930_____Ga0137407_10000103||full	1.000	0.027	1.000	dsDNAphage	65122	3	28.500	1.600
virus--3300012944_____Ga0137410_10000227||full	1.000	0.007	1.000	dsDNAphage	39754	6	32.300	3.200
virus--3300012953_____Ga0163179_10000409||full	1.000	0.387	1.000	dsDNAphage	30976	5	76.100	0.000
virus--3300012979_____Ga0123348_10000132||full	1.000	0.380	1.000	dsDNAphage	51913	6	58.800	0.000
virus--3300012996_____Ga0157358_1000082||full	1.000	0.080	1.000	dsDNAphage	35938	12	57.400	0.000
virus--3300013016_____Ga0163224_100003||full	1.000	0.007	1.000	dsDNAphage	57972	3	47.800	3.000
virus--3300013093_____Ga0164296_1000914||full	1.000	0.033	1.000	dsDNAphage	33067	6	62.500	2.500
virus--3300013099_____Ga0164315_10000376||full	1.000	0.080	1.000	dsDNAphage	30373	5	59.400	3.100
virus--3300013104_____Ga0157370_10000751||full	1.000	0.113	1.000	dsDNAphage	40401	7	44.300	1.300
virus--3300013132_____Ga0172372_10002666||full	0.873	0.607	0.873	dsDNAphage	26314	0	40.000	4.000
virus--3300013132_____Ga0172372_10006654||full	1.000	0.193	1.000	dsDNAphage	15611	5	78.900	0.000
virus--3300013185_____Ga0118570_100042||full	1.000	0.193	1.000	dsDNAphage	40897	7	42.000	0.000
virus--3300013289_____Ga0119916_100005||full	1.000	0.007	1.000	dsDNAphage	69692	2	18.100	1.700
virus--3300013383_____Ga0116616_1000141||full	1.000	0.240	1.000	dsDNAphage	49139	5	24.700	0.000
virus--3300013384_____Ga0118023_100005||full	1.000	0.193	1.000	dsDNAphage	40965	7	42.000	0.000
virus--3300013691_____Ga0118022_100002||full	1.000	0.000	1.000	dsDNAphage	37888	6	55.600	3.700
virus--3300013705_____Ga0118641_100004||full	1.000	0.000	1.000	dsDNAphage	37888	6	55.600	3.700
virus--3300013936_____Ga0116637_1000002||full	1.000	0.207	1.000	dsDNAphage	151766	1	47.500	0.000
virus--3300013936_____Ga0116637_1000018||full	0.993	0.040	0.993	dsDNAphage	74308	5	27.400	0.900
virus--3300014029_____Ga0119941_1000002||full	1.000	0.033	1.000	dsDNAphage	44550	3	27.300	1.500
virus--3300014039_____Ga0116646_1000066||full	1.000	0.260	1.000	dsDNAphage	94952	2	69.800	0.000
virus--3300014059_____Ga0119868_1000080||full	1.000	0.067	1.000	dsDNAphage	53465	5	34.600	1.300
virus--3300014204_____Ga0172381_10000866||full	1.000	0.087	1.000	dsDNAphage	37613	4	42.900	1.800
virus--3300014205_____Ga0172380_10001093||full	1.000	0.000	1.000	dsDNAphage	48036	2	20.000	1.500
virus--3300014205_____Ga0172380_10001699||full	0.993	0.027	0.993	dsDNAphage	37339	1	18.600	0.000
virus--3300014541_____Ga0134391_100078||full	1.000	0.313	1.000	dsDNAphage	85848	6	57.500	0.900
virus--3300014551_____Ga0134380_100034||full	1.000	0.167	1.000	dsDNAphage	151839	16	77.100	0.500
virus--3300014613_____Ga0180008_1000273||full	1.000	0.053	1.000	dsDNAphage	50069	6	28.800	0.000
virus--3300014627_____Ga0121475_10060||full	0.993	0.000	0.993	dsDNAphage	77494	4	30.200	5.200
virus--3300014658_____Ga0181519_10000216||full	1.000	0.040	1.000	dsDNAphage	54563	6	39.000	0.000
virus--3300014688_____Ga0121253_100095||full	1.000	0.180	1.000	dsDNAphage	40872	10	76.400	0.000
virus--3300014755_____Ga0169841_101129||full	1.000	0.053	1.000	dsDNAphage	16325	4	40.000	0.000
virus--3300014790_____Ga0134419_1000224||full	0.987	0.107	0.987	dsDNAphage	42756	3	52.500	0.000
virus--3300014872_____Ga0180087_1000014||full	0.993	0.313	0.993	dsDNAphage	47399	2	34.500	0.000
virus--3300014876_____Ga0180064_1000004||full	0.993	0.033	0.993	dsDNAphage	56719	7	33.700	2.200
virus--3300015203_____Ga0167650_1000009||full	0.993	0.020	0.993	dsDNAphage	62048	4	21.800	1.800
virus--3300015203_____Ga0167650_1000012||full	0.993	0.013	0.993	dsDNAphage	50959	12	44.300	4.500
virus--3300015259_____Ga0180085_1000012||full	1.000	0.027	1.000	dsDNAphage	45254	2	20.700	0.000
virus--3300015264_____Ga0137403_10000752||full	1.000	0.007	1.000	dsDNAphage	41555	5	32.800	1.600
virus--3300015370_____Ga0180009_10000515||full	0.987	0.000	0.987	dsDNAphage	53419	12	38.700	10.700
virus--3300015372_____Ga0132256_100000602||full	0.973	0.027	0.973	dsDNAphage	26892	5	48.700	5.100
virus--3300016422_____Ga0182039_10000129||full	1.000	0.080	1.000	dsDNAphage	40348	4	36.500	0.000
virus--3300017682_____Ga0182229_1000017||full	1.000	0.027	1.000	dsDNAphage	40032	8	27.900	1.600
virus--3300017941_____Ga0187850_10000768||full	1.000	0.140	1.000	dsDNAphage	39656	7	47.500	0.000
virus--3300017941_____Ga0187850_10000974||full	0.973	0.007	0.973	dsDNAphage	33846	2	11.300	3.800
virus--3300017963_____Ga0180437_10000920||full	1.000	0.060	1.000	dsDNAphage	52242	5	21.300	0.000
virus--3300017963_____Ga0180437_10001244||full	1.000	0.047	1.000	dsDNAphage	43879	2	35.300	5.900
virus--3300017963_____Ga0180437_10001387||full	0.993	0.047	0.993	dsDNAphage	41551	4	34.000	2.000
virus--3300017963_____Ga0180437_10001919||full	1.000	0.280	1.000	dsDNAphage	34446	4	27.900	0.000
virus--3300017967_____Ga0181590_10000714||full	0.873	0.873	0.873	dsDNAphage	27200	0	66.700	0.000
virus--3300017969_____Ga0181585_10000406||full	1.000	0.093	1.000	dsDNAphage	35489	2	34.600	0.000
virus--3300017971_____Ga0180438_10002002||full	1.000	0.300	1.000	dsDNAphage	34382	5	33.300	0.000
virus--3300017971_____Ga0180438_10002697||full	0.980	0.013	0.980	dsDNAphage	28142	1	28.600	6.100
virus--3300017989_____Ga0180432_10002144||full	0.987	0.000	0.987	dsDNAphage	29917	9	51.200	4.800
virus--3300017991_____Ga0180434_10000025||full	0.993	0.013	0.993	dsDNAphage	210961	5	21.300	0.300
virus--3300018013_____Ga0187873_1000580||full	1.000	0.360	1.000	dsDNAphage	36294	3	28.300	0.000
virus--3300018016_____Ga0187880_1000125||full	0.953	0.007	0.953	dsDNAphage	63130	1	14.700	1.700
virus--3300018017_____Ga0187872_10000407||full	0.960	0.000	0.960	dsDNAphage	51314	1	12.100	1.500
virus--3300018040_____Ga0187862_10000041||full	0.980	0.000	0.980	dsDNAphage	129046	3	22.400	7.700
virus--3300018059_____Ga0184615_10000178||full	0.987	0.027	0.987	dsDNAphage	38939	6	41.200	3.900
virus--3300018424_____Ga0181591_10000315||full	1.000	0.093	1.000	dsDNAphage	36365	1	43.900	0.000
virus--3300018482_____Ga0066669_10000002||full	0.993	0.227	0.993	dsDNAphage	41572	8	42.100	1.800
virus--3300019755_____Ga0193954_1000182||full	0.993	0.067	0.993	dsDNAphage	37903	8	34.800	1.500
virus--3300019768_____Ga0193960_1000037||full	1.000	0.013	1.000	dsDNAphage	55156	11	47.500	1.000
virus--3300020313_____Ga0211485_1000008||full	0.993	0.367	0.993	dsDNAphage	58571	9	90.100	0.000
virus--3300027868_____Ga0255053_10000053||full	0.973	0.013	0.973	dsDNAphage	50016	1	29.200	2.200
virus--7000000232_____SRS015578_WUGC_scaffold_51068||full	1.000	0.207	1.000	dsDNAphage	35758	9	74.100	0.000
virus--7000000653_____SRS016740_Baylor_scaffold_16204||full	1.000	0.213	1.000	dsDNAphage	53619	7	68.700	0.000
virus--7000000736_____SRS014235_WUGC_scaffold_8921||full	1.000	0.067	1.000	dsDNAphage	42664	10	50.000	0.000
virus--Bacilli_gi_566131514||full	1.000	0.053	1.000	dsDNAphage	40412	10	55.200	0.000
virus--Gammaproteobacteria_gi_229896925||full	0.947	0.000	0.947	dsDNAphage	106990	12	50.000	16.700
virus--Gammaproteobacteria_gi_545169252||full	0.993	0.020	0.993	dsDNAphage	47709	12	63.800	10.100
bacteria--NZ_AQCU01000439.1||full	0.480	0.613	0.613	ssDNA	5386	1	40.000	0.000
bacteria--NZ_AQDY01000062.1||full	0.953	0.980	0.980	ssDNA	2388	0	50.000	0.000
bacteria--NZ_KE355796.1||full	0.487	0.620	0.620	ssDNA	5389	1	42.900	0.000
bacteria--NZ_JHCV01000011.1||full	1.000	0.027	1.000	dsDNAphage	103970	8	45.000	1.500
bacteria--NZ_HG976947.1||full	0.993	0.000	0.993	dsDNAphage	116956	10	51.700	13.600
bacteria--NZ_CHWU02000031.1||full	0.927	0.160	0.927	dsDNAphage	18167	0	36.400	0.000
archaea--NZ_AXDV01000017.1||full	0.487	0.620	0.620	ssDNA	5386	1	42.900	0.000
plasmid--NZ_CP015284.1||full	0.880	0.000	0.880	dsDNAphage	126525	1	26.300	12.300
