seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NC_005294.1||full	0.987	0.300	0.987	dsDNAphage	42505	11	81.300	1.300
NC_001722.1||full	0.567	0.247	0.567	dsDNAphage	9504	0	66.700	0.000
NC_001871.1||full	0.707	0.327	0.707	dsDNAphage	10093	0	66.700	0.000
NC_005045.1||full	1.000	0.160	1.000	dsDNAphage	41962	12	92.200	0.000
NC_006882.2||full	1.000	0.340	1.000	dsDNAphage	44963	10	96.300	0.000
NC_005859.1||full	1.000	0.187	1.000	dsDNAphage	111490	15	91.300	0.000
NC_004065.1||full	0.587	0.233	0.587	dsDNAphage	230046	0	67.400	0.000
NC_001806.2||full	0.573	0.173	0.573	dsDNAphage	144382	0	66.700	0.000
NC_002077.1||full	0.933	0.920	0.933	dsDNAphage	4433	0	100.000	0.000
NC_001549.1||full	0.553	0.133	0.553	dsDNAphage	8936	0	60.000	0.000
NC_001802.1||full	0.807	0.087	0.807	dsDNAphage	8714	0	50.000	0.000
NC_007581.1||full	1.000	0.000	1.000	dsDNAphage	184518	8	53.900	3.900
NC_007653.1||full	0.793	0.160	0.793	dsDNAphage	156286	1	72.000	0.000
NC_007497.1||full	0.993	0.140	0.993	dsDNAphage	44807	16	73.200	1.400
NC_007637.1||full	1.000	0.187	1.000	dsDNAphage	44963	8	85.200	0.000
NC_007456.1||full	1.000	0.133	1.000	dsDNAphage	39214	11	85.400	0.000
NC_008367.1||full	1.000	0.000	1.000	dsDNAphage	40765	7	32.700	0.000
NC_008376.2||full	0.993	0.047	0.993	dsDNAphage	34451	12	76.500	5.900
NC_009018.1||full	1.000	0.220	1.000	dsDNAphage	38441	12	81.700	0.000
NC_008694.1||full	1.000	0.300	1.000	dsDNAphage	38046	12	95.200	0.000
NC_007921.1||full	0.860	0.200	0.860	dsDNAphage	146949	1	78.400	2.600
NC_008210.1||full	0.867	0.020	0.867	dsDNAphage	230171	3	47.500	1.300
NC_008211.1||full	0.913	0.040	0.913	dsDNAphage	206930	2	28.700	0.600
NC_009231.1||full	0.987	0.087	0.987	dsDNAphage	55768	13	74.700	3.200
NC_009760.1||full	1.000	0.007	1.000	dsDNAphage	212469	45	43.900	2.500
NC_009811.2||full	1.000	0.240	1.000	dsDNAphage	134434	27	77.800	0.000
NC_009935.1||full	1.000	0.180	1.000	dsDNAphage	42629	13	87.300	0.000
NC_009127.1||full	0.887	0.153	0.887	dsDNAphage	272424	2	59.200	1.700
NC_009936.1||full	1.000	0.227	1.000	dsDNAphage	41182	9	60.300	0.000
NC_009531.1||full	1.000	0.280	1.000	dsDNAphage	45910	10	71.900	0.000
NC_009542.2||full	1.000	0.013	1.000	dsDNAphage	33770	14	75.000	2.300
NC_009551.1||full	0.993	0.073	0.993	dsDNAphage	42988	8	51.200	2.400
NC_009799.3||full	1.000	0.013	1.000	dsDNAphage	42880	9	40.000	1.700
NC_010820.1||full	0.647	0.240	0.647	dsDNAphage	11403	0	66.700	0.000
NC_011040.1||full	1.000	0.287	1.000	dsDNAphage	39407	12	97.700	0.000
NC_010807.1||full	1.000	0.253	1.000	dsDNAphage	38352	11	95.500	0.000
NC_011042.1||full	1.000	0.133	1.000	dsDNAphage	38860	11	85.400	0.000
NC_010324.1||full	1.000	0.267	1.000	dsDNAphage	76816	6	87.100	0.000
NC_010326.1||full	1.000	0.173	1.000	dsDNAphage	42943	13	87.000	0.000
NC_010325.1||full	1.000	0.213	1.000	dsDNAphage	44580	10	89.700	0.000
NC_010819.1||full	0.560	0.293	0.560	dsDNAphage	11351	0	80.000	0.000
NC_011045.1||full	1.000	0.173	1.000	dsDNAphage	38432	12	96.000	0.000
NC_011085.3||full	1.000	0.147	1.000	dsDNAphage	37538	12	73.500	0.000
NC_011534.1||full	1.000	0.280	1.000	dsDNAphage	39050	12	97.800	0.000
NC_012418.1||full	1.000	0.133	1.000	dsDNAphage	42557	13	90.600	0.000
NC_013197.1||full	0.987	0.147	0.987	dsDNAphage	16989	2	74.300	2.900
NC_013692.1||full	1.000	0.127	1.000	dsDNAphage	71647	4	67.400	0.000
NC_013649.2||full	0.993	0.260	0.993	dsDNAphage	43471	9	67.200	0.000
NC_013691.1||full	1.000	0.353	1.000	dsDNAphage	74185	4	63.400	0.000
NC_013698.1||full	0.987	0.167	0.987	dsDNAphage	57861	3	34.200	0.000
NC_011043.1||full	1.000	0.160	1.000	dsDNAphage	40816	11	91.700	0.000
NC_015158.1||full	1.000	0.187	1.000	dsDNAphage	49639	8	58.300	0.000
NC_015719.1||full	1.000	0.173	1.000	dsDNAphage	40363	11	91.700	0.000
NC_015269.1||full	1.000	0.160	1.000	dsDNAphage	108737	15	92.400	0.000
NC_011038.1||full	1.000	0.227	1.000	dsDNAphage	38116	11	92.900	0.000
NC_015264.1||full	1.000	0.147	1.000	dsDNAphage	39988	17	89.800	0.000
NC_017978.1||full	1.000	0.027	1.000	dsDNAphage	33560	11	68.900	4.400
NC_018088.1||full	1.000	0.113	1.000	dsDNAphage	104305	12	34.000	0.700
NC_018086.1||full	0.993	0.373	0.993	dsDNAphage	53034	13	65.000	0.000
NC_018837.1||full	1.000	0.307	1.000	dsDNAphage	109011	14	78.600	0.000
NC_019411.1||full	0.993	0.100	0.993	dsDNAphage	209245	13	91.000	0.600
NC_018850.2||full	0.987	0.213	0.987	dsDNAphage	44845	10	75.000	0.000
NC_019405.1||full	0.993	0.087	0.993	dsDNAphage	205423	13	91.100	0.600
NC_019495.1||full	0.867	0.080	0.867	dsDNAphage	272998	5	62.400	1.000
NC_019911.2||full	1.000	0.213	1.000	dsDNAphage	41839	8	73.600	0.000
NC_019410.1||full	0.993	0.093	0.993	dsDNAphage	211574	13	90.500	0.600
NC_019514.1||full	1.000	0.127	1.000	dsDNAphage	74230	4	51.400	1.000
NC_019510.1||full	1.000	0.180	1.000	dsDNAphage	38895	12	91.500	0.000
NC_019918.1||full	0.993	0.247	0.993	dsDNAphage	91173	16	87.500	0.000
NC_019407.1||full	0.993	0.087	0.993	dsDNAphage	208983	13	90.500	0.600
NC_019491.1||full	0.893	0.120	0.893	dsDNAphage	257529	2	59.200	2.600
NC_019504.1||full	1.000	0.060	1.000	dsDNAphage	53498	11	73.400	2.500
NC_019538.1||full	1.000	0.240	1.000	dsDNAphage	231729	39	81.200	0.000
NC_019726.1||full	0.993	0.200	0.993	dsDNAphage	141779	32	86.200	0.500
NC_019919.2||full	1.000	0.200	1.000	dsDNAphage	112605	16	92.500	0.000
NC_020478.1||full	0.993	0.293	0.993	dsDNAphage	48142	9	94.900	0.000
NC_020846.1||full	1.000	0.173	1.000	dsDNAphage	46427	10	63.400	0.000
NC_020865.1||full	1.000	0.387	1.000	dsDNAphage	45254	10	98.000	0.000
NC_020081.2||full	0.993	0.347	0.993	dsDNAphage	147175	29	73.700	0.000
NC_020158.1||full	1.000	0.453	1.000	dsDNAphage	101709	7	78.800	0.000
NC_020477.1||full	0.993	0.347	0.993	dsDNAphage	48398	9	91.200	0.000
NC_020867.1||full	0.993	0.233	0.993	dsDNAphage	44445	9	89.700	0.000
NC_020861.1||full	1.000	0.027	1.000	dsDNAphage	38995	10	60.700	1.800
NC_020835.1||full	1.000	0.440	1.000	dsDNAphage	46898	7	98.100	0.000
NC_020159.1||full	1.000	0.373	1.000	dsDNAphage	67907	9	66.300	0.000
NC_020479.1||full	0.993	0.273	0.993	dsDNAphage	48296	9	92.400	0.000
NC_020849.1||full	1.000	0.227	1.000	dsDNAphage	76370	5	81.400	1.000
NC_020850.1||full	1.000	0.320	1.000	dsDNAphage	37955	11	59.600	0.000
NC_020842.1||full	1.000	0.420	1.000	dsDNAphage	78253	5	57.100	0.000
NC_020855.1||full	1.000	0.327	1.000	dsDNAphage	192042	36	94.400	0.000
NC_021073.1||full	1.000	0.213	1.000	dsDNAphage	106939	11	54.100	0.000
NC_020480.1||full	0.993	0.280	0.993	dsDNAphage	49052	8	94.800	0.000
NC_020837.1||full	1.000	0.307	1.000	dsDNAphage	197534	43	91.500	0.000
NC_020868.1||full	1.000	0.160	1.000	dsDNAphage	76212	5	65.000	0.900
NC_020872.1||full	1.000	0.433	1.000	dsDNAphage	46501	10	94.200	0.000
NC_021072.1||full	1.000	0.360	1.000	dsDNAphage	178466	34	98.500	0.000
NC_021321.1||full	0.993	0.447	0.993	dsDNAphage	74173	8	88.300	0.000
NC_021785.1||full	1.000	0.153	1.000	dsDNAphage	65122	13	61.700	0.000
NC_021783.1||full	1.000	0.220	1.000	dsDNAphage	58612	17	97.200	1.400
NC_021856.1||full	0.987	0.207	0.987	dsDNAphage	150475	33	72.700	0.400
NC_021071.1||full	1.000	0.360	1.000	dsDNAphage	176691	39	98.100	0.000
NC_021332.1||full	1.000	0.153	1.000	dsDNAphage	41214	20	89.600	0.000
NC_021320.1||full	1.000	0.447	1.000	dsDNAphage	74221	9	91.800	0.000
NC_021534.1||full	0.993	0.287	0.993	dsDNAphage	47142	10	74.400	0.000
NC_021772.1||full	1.000	0.267	1.000	dsDNAphage	72153	7	69.700	1.000
NC_021781.2||full	1.000	0.260	1.000	dsDNAphage	135221	27	78.100	0.000
NC_021335.1||full	0.993	0.540	0.993	dsDNAphage	68428	9	63.400	0.000
NC_021537.1||full	0.993	0.133	0.993	dsDNAphage	39274	4	53.600	0.000
NC_021782.1||full	1.000	0.153	1.000	dsDNAphage	72068	7	68.400	1.000
NC_021326.1||full	0.987	0.160	0.987	dsDNAphage	45153	22	85.500	0.000
NC_021560.1||full	1.000	0.007	1.000	dsDNAphage	52631	14	44.300	4.300
NC_021776.1||full	1.000	0.273	1.000	dsDNAphage	42132	6	61.500	0.000
NC_021775.1||full	1.000	0.307	1.000	dsDNAphage	42192	14	79.400	0.000
NC_021787.2||full	1.000	0.240	1.000	dsDNAphage	64611	13	62.600	0.000
NC_022765.1||full	0.993	0.347	0.993	dsDNAphage	48750	9	93.500	0.000
NC_022773.1||full	0.993	0.320	0.993	dsDNAphage	49258	9	91.200	0.000
NC_022766.1||full	1.000	0.327	1.000	dsDNAphage	48128	9	93.800	0.000
NC_023693.1||full	1.000	0.100	1.000	dsDNAphage	147159	17	61.300	1.300
NC_023601.2||full	1.000	0.027	1.000	dsDNAphage	97322	17	53.700	1.100
NC_023548.1||full	0.993	0.093	0.993	dsDNAphage	39462	11	78.000	0.000
NC_023736.1||full	0.993	0.160	0.993	dsDNAphage	40017	11	53.700	0.000
NC_023715.1||full	1.000	0.240	1.000	dsDNAphage	38102	11	95.200	0.000
NC_023841.1||full	1.000	0.247	1.000	dsDNAphage	36880	7	47.100	0.000
NC_024212.1||full	1.000	0.373	1.000	dsDNAphage	55057	13	61.600	0.000
NC_024359.1||full	1.000	0.253	1.000	dsDNAphage	133004	27	78.200	0.000
NC_024392.1||full	1.000	0.247	1.000	dsDNAphage	66604	13	62.300	0.000
NC_024792.1||full	1.000	0.240	1.000	dsDNAphage	157273	29	67.200	0.000
NC_024375.1||full	1.000	0.247	1.000	dsDNAphage	67076	13	60.700	0.000
NC_024384.1||full	0.987	0.027	0.987	dsDNAphage	41144	15	68.500	4.100
NC_024452.1||full	0.587	0.760	0.760	ssDNA	5025	0	66.700	0.000
NC_024142.2||full	1.000	0.067	1.000	dsDNAphage	72172	8	90.200	0.000
NC_024383.1||full	1.000	0.240	1.000	dsDNAphage	135765	27	77.700	0.000
NC_025452.1||full	0.993	0.140	0.993	dsDNAphage	155336	41	95.500	0.000
NC_025446.1||full	1.000	0.167	1.000	dsDNAphage	157236	42	94.600	0.000
NC_025436.1||full	1.000	0.073	1.000	dsDNAphage	132940	10	41.400	1.300
NC_025441.1||full	1.000	0.227	1.000	dsDNAphage	66736	25	50.500	0.000
NC_025429.1||full	1.000	0.040	1.000	dsDNAphage	156331	24	34.200	0.800
NC_025451.1||full	1.000	0.327	1.000	dsDNAphage	38154	11	97.700	0.000
NC_025427.1||full	1.000	0.013	1.000	dsDNAphage	54416	13	36.000	1.100
NC_025445.1||full	1.000	0.273	1.000	dsDNAphage	40650	8	63.800	0.000
NC_025470.1||full	0.993	0.047	0.993	dsDNAphage	137674	11	39.500	0.900
NC_026258.1||full	0.667	1.000	1.000	ssDNA	1744	1	100.000	0.000
NC_026602.1||full	1.000	0.147	1.000	dsDNAphage	43063	13	88.900	0.000
NC_026599.1||full	1.000	0.213	1.000	dsDNAphage	44789	10	89.700	0.000
NC_026587.1||full	1.000	0.280	1.000	dsDNAphage	85126	16	77.000	0.700
NC_026943.1||full	0.433	0.953	0.953	ssDNA	5988	0	66.700	0.000
NC_021190.1||full	1.000	0.020	1.000	dsDNAphage	46080	22	75.400	3.100
NC_027299.1||full	1.000	0.307	1.000	dsDNAphage	42049	9	71.800	0.000
NC_027330.1||full	0.993	0.180	0.993	dsDNAphage	45195	8	66.700	0.000
NC_027345.1||full	1.000	0.093	1.000	dsDNAphage	72080	4	64.500	0.000
NC_027360.1||full	1.000	0.307	1.000	dsDNAphage	86819	14	70.900	0.800
NC_027369.1||full	1.000	0.173	1.000	dsDNAphage	85953	17	71.100	0.700
NC_027375.1||full	1.000	0.180	1.000	dsDNAphage	42622	12	92.500	0.000
NC_027358.1||full	1.000	0.253	1.000	dsDNAphage	28341	8	43.500	0.000
NC_027371.1||full	0.993	0.620	0.993	dsDNAphage	29643	13	100.000	0.000
NC_027356.1||full	1.000	0.267	1.000	dsDNAphage	99938	15	94.500	0.000
NC_027381.1||full	1.000	0.100	1.000	dsDNAphage	67652	5	73.400	1.300
NC_027377.1||full	1.000	0.067	1.000	dsDNAphage	28619	8	48.800	0.000
NC_027395.1||full	1.000	0.207	1.000	dsDNAphage	76605	6	89.400	0.000
NC_028248.1||full	1.000	0.080	1.000	dsDNAphage	136542	22	86.300	0.500
NC_028448.1||full	1.000	0.320	1.000	dsDNAphage	167340	48	94.900	0.000
NC_028449.1||full	1.000	0.020	1.000	dsDNAphage	63422	7	76.500	6.200
NC_028685.1||full	1.000	0.013	1.000	dsDNAphage	62517	7	78.400	4.100
NC_028657.1||full	0.987	0.000	0.987	dsDNAphage	60760	15	58.300	4.600
NC_028670.1||full	0.993	0.040	0.993	dsDNAphage	43883	8	63.000	1.900
NC_028679.1||full	1.000	0.520	1.000	dsDNAphage	40429	6	55.300	0.000
NC_028686.1||full	1.000	0.293	1.000	dsDNAphage	166226	47	81.300	0.000
NC_028655.1||full	1.000	0.160	1.000	dsDNAphage	38818	11	89.600	0.000
NC_028754.1||full	1.000	0.160	1.000	dsDNAphage	108921	14	92.300	0.000
NC_028749.1||full	1.000	0.007	1.000	dsDNAphage	133587	13	44.900	3.400
NC_028943.1||full	1.000	0.033	1.000	dsDNAphage	29111	22	90.000	2.500
NC_028977.1||full	1.000	0.133	1.000	dsDNAphage	40691	11	92.000	0.000
NC_028800.1||full	1.000	0.233	1.000	dsDNAphage	41122	11	95.800	0.000
NC_028847.1||full	1.000	0.333	1.000	dsDNAphage	170467	50	94.200	0.000
NC_028896.1||full	1.000	0.107	1.000	dsDNAphage	32572	21	78.600	0.000
NC_028848.1||full	1.000	0.620	1.000	dsDNAphage	41336	6	51.900	0.000
NC_028927.1||full	1.000	0.247	1.000	dsDNAphage	167171	47	95.500	0.000
NC_028944.1||full	0.993	0.320	0.993	dsDNAphage	159366	25	80.600	0.000
NC_028831.1||full	1.000	0.220	1.000	dsDNAphage	61108	11	53.300	0.000
NC_028780.1||full	1.000	0.287	1.000	dsDNAphage	166997	48	96.600	0.000
NC_028768.1||full	0.993	0.107	0.993	dsDNAphage	46187	12	47.500	0.000
NC_028822.1||full	1.000	0.180	1.000	dsDNAphage	40603	11	91.300	0.000
NC_028772.1||full	1.000	0.153	1.000	dsDNAphage	38663	12	80.400	0.000
NC_028819.1||full	0.980	0.373	0.980	dsDNAphage	43063	10	76.000	0.000
NC_028817.1||full	0.993	0.227	0.993	dsDNAphage	92258	16	85.300	0.000
NC_028805.1||full	1.000	0.000	1.000	dsDNAphage	125644	8	34.400	4.300
NC_028890.1||full	0.980	0.120	0.980	dsDNAphage	155565	28	72.900	0.900
NC_028834.1||full	0.993	0.107	0.993	dsDNAphage	45417	13	50.000	0.000
NC_028931.1||full	0.993	0.087	0.993	dsDNAphage	54709	16	58.900	0.000
NC_028863.1||full	1.000	0.220	1.000	dsDNAphage	40248	11	92.000	0.000
NC_028840.1||full	1.000	0.213	1.000	dsDNAphage	111624	14	90.900	0.000
NC_028930.1||full	1.000	0.040	1.000	dsDNAphage	53951	8	45.900	3.500
NC_028895.1||full	1.000	0.133	1.000	dsDNAphage	107903	13	54.700	0.000
NC_028887.1||full	1.000	0.180	1.000	dsDNAphage	164502	26	89.800	0.000
NC_028903.1||full	1.000	0.133	1.000	dsDNAphage	76963	6	85.800	0.800
NC_028880.1||full	1.000	0.187	1.000	dsDNAphage	37979	11	91.500	0.000
NC_029045.1||full	1.000	0.207	1.000	dsDNAphage	59660	27	93.700	1.100
NC_029098.1||full	1.000	0.000	1.000	dsDNAphage	121707	9	35.100	3.100
NC_029067.1||full	1.000	0.147	1.000	dsDNAphage	137689	9	54.800	0.000
NC_029058.1||full	1.000	0.233	1.000	dsDNAphage	105105	24	53.300	0.000
NC_029106.1||full	1.000	0.087	1.000	dsDNAphage	61638	14	44.400	1.200
NC_029081.1||full	1.000	0.033	1.000	dsDNAphage	45534	10	61.700	1.700
NC_029101.1||full	0.987	0.133	0.987	dsDNAphage	72109	4	66.700	0.000
NC_029075.1||full	0.993	0.000	0.993	dsDNAphage	79429	8	31.900	2.600
NC_029094.1||full	1.000	0.060	1.000	dsDNAphage	131776	14	37.400	0.000
NC_029631.1||full	0.727	0.973	0.973	ssDNA	2747	1	66.700	0.000
NC_030944.1||full	0.993	0.073	0.993	dsDNAphage	72891	7	26.100	1.100
NC_030915.1||full	0.993	0.007	0.993	dsDNAphage	79113	5	24.800	1.800
NC_030914.1||full	1.000	0.040	1.000	dsDNAphage	74290	7	25.000	1.100
NC_030910.1||full	0.993	0.227	0.993	dsDNAphage	92133	16	85.300	0.000
NC_030920.1||full	0.993	0.060	0.993	dsDNAphage	162323	27	57.700	1.400
NC_030905.1||full	1.000	0.007	1.000	dsDNAphage	72104	8	31.800	3.500
NC_030924.1||full	0.993	0.027	0.993	dsDNAphage	74017	6	25.500	2.000
NC_013597.1||full	1.000	0.007	1.000	dsDNAphage	43902	16	73.300	3.300
NC_031073.1||full	0.993	0.260	0.993	dsDNAphage	93051	16	86.600	0.000
NC_031027.1||full	0.993	0.307	0.993	dsDNAphage	159457	25	81.300	0.000
NC_031070.1||full	1.000	0.333	1.000	dsDNAphage	159581	25	80.300	0.000
NC_031092.1||full	1.000	0.413	1.000	dsDNAphage	38658	12	95.700	0.000
NC_031024.1||full	1.000	0.340	1.000	dsDNAphage	159291	25	80.400	0.000
NC_031068.2||full	1.000	0.033	1.000	dsDNAphage	43875	7	56.900	1.700
NC_031054.1||full	0.987	0.333	0.987	dsDNAphage	159519	25	80.000	0.000
NC_031104.1||full	1.000	0.127	1.000	dsDNAphage	72091	4	64.500	0.000
NC_031100.1||full	1.000	0.300	1.000	dsDNAphage	161896	26	90.800	0.000
NC_031006.1||full	0.993	0.333	0.993	dsDNAphage	158699	25	80.600	0.000
NC_031066.1||full	1.000	0.267	1.000	dsDNAphage	38947	11	93.500	0.000
NC_031034.1||full	1.000	0.287	1.000	dsDNAphage	158328	25	82.700	0.400
NC_031016.1||full	0.993	0.020	0.993	dsDNAphage	40102	9	47.800	3.000
NC_031116.1||full	1.000	0.327	1.000	dsDNAphage	160108	25	82.400	0.000
NC_031037.1||full	1.000	0.333	1.000	dsDNAphage	160037	25	81.600	0.000
NC_031123.1||full	1.000	0.087	1.000	dsDNAphage	39023	11	83.300	0.000
NC_031086.1||full	1.000	0.807	1.000	dsDNAphage	40058	6	60.000	0.000
NC_031096.1||full	1.000	0.067	1.000	dsDNAphage	44155	9	66.700	1.800
NC_031063.1||full	0.987	0.120	0.987	dsDNAphage	71837	4	65.600	0.000
NC_031081.1||full	1.000	0.200	1.000	dsDNAphage	45079	16	96.600	0.000
NC_031091.1||full	1.000	0.013	1.000	dsDNAphage	43211	7	50.000	7.600
NC_031109.1||full	1.000	0.013	1.000	dsDNAphage	76956	8	27.400	2.100
NC_031012.1||full	1.000	0.340	1.000	dsDNAphage	159452	25	81.000	0.000
NC_031049.1||full	1.000	0.340	1.000	dsDNAphage	159244	25	83.200	0.000
NC_031018.1||full	0.980	0.087	0.980	dsDNAphage	38874	12	81.600	0.000
NC_031025.1||full	1.000	0.020	1.000	dsDNAphage	41851	8	64.700	2.000
NC_031115.1||full	1.000	0.140	1.000	dsDNAphage	38672	12	76.000	0.000
NC_031113.1||full	1.000	0.233	1.000	dsDNAphage	44386	16	98.300	0.000
NC_031260.1||full	1.000	0.220	1.000	dsDNAphage	41087	11	56.500	0.000
NC_031229.1||full	1.000	0.020	1.000	dsDNAphage	75193	6	25.500	2.000
NC_031246.1||full	0.993	0.067	0.993	dsDNAphage	42988	8	71.200	1.900
NC_031274.1||full	1.000	0.207	1.000	dsDNAphage	49835	6	68.500	0.000
NC_031929.1||full	1.000	0.180	1.000	dsDNAphage	40993	8	68.700	0.000
NC_031908.1||full	1.000	0.113	1.000	dsDNAphage	42558	5	56.600	0.000
NC_031917.1||full	0.993	0.040	0.993	dsDNAphage	39822	9	69.100	2.900
NC_031928.1||full	1.000	0.353	1.000	dsDNAphage	169876	50	93.400	0.000
NC_031902.1||full	1.000	0.140	1.000	dsDNAphage	113876	16	89.600	0.000
NC_031934.1||full	0.993	0.327	0.993	dsDNAphage	168869	51	95.800	0.000
NC_031901.1||full	1.000	0.267	1.000	dsDNAphage	42858	8	73.900	0.000
NC_032885.1||full	0.713	0.540	0.713	dsDNAphage	5247	0	50.000	0.000
NC_033176.1||full	0.513	0.180	0.513	dsDNAphage	223184	0	50.000	12.500
NC_032108.1||full	0.820	0.000	0.820	dsDNAphage	588442	10	22.400	2.500
NC_027348.2||full	1.000	0.120	1.000	dsDNAphage	73200	4	48.900	1.100
NC_027366.1||full	0.993	0.020	0.993	dsDNAphage	154388	30	63.600	1.900
NC_028856.1||full	1.000	0.087	1.000	dsDNAphage	78933	4	46.200	0.000
NC_028777.1||full	1.000	0.027	1.000	dsDNAphage	79586	5	41.900	0.000
NC_029092.1||full	1.000	0.293	1.000	dsDNAphage	44682	6	58.000	0.000
NC_027297.1||full	1.000	0.147	1.000	dsDNAphage	113445	15	89.500	0.000
NC_029004.1||full	1.000	0.007	1.000	dsDNAphage	36700	10	51.500	6.100
NC_027374.1||full	1.000	0.107	1.000	dsDNAphage	159190	31	62.100	0.900
NC_030947.1||full	0.993	0.013	0.993	dsDNAphage	38231	12	56.500	5.800
NC_028991.1||full	0.993	0.013	0.993	dsDNAphage	41980	10	59.000	4.900
NC_030951.1||full	0.987	0.007	0.987	dsDNAphage	38231	12	56.500	5.800
NC_028908.2||full	0.993	0.127	0.993	dsDNAphage	72328	6	62.000	0.000
NC_029048.2||full	0.987	0.007	0.987	dsDNAphage	131168	12	43.900	5.600
NC_047700.1||full	0.987	0.280	0.987	dsDNAphage	42077	9	78.300	0.000
NC_047701.1||full	1.000	0.527	1.000	dsDNAphage	42349	9	98.000	0.000
NC_047702.1||full	1.000	0.320	1.000	dsDNAphage	42514	10	91.100	0.000
NC_047703.1||full	1.000	0.333	1.000	dsDNAphage	37503	9	94.200	0.000
NC_047704.1||full	1.000	0.540	1.000	dsDNAphage	40514	8	87.500	0.000
NC_047705.1||full	1.000	0.587	1.000	dsDNAphage	41767	10	94.200	0.000
NC_047706.1||full	0.993	0.027	0.993	dsDNAphage	43502	6	58.100	0.000
NC_047707.1||full	1.000	0.127	1.000	dsDNAphage	43648	8	62.200	0.000
NC_047708.1||full	0.993	0.407	0.993	dsDNAphage	41937	7	63.600	0.000
NC_047709.1||full	1.000	0.447	1.000	dsDNAphage	44655	9	100.000	0.000
NC_047710.1||full	1.000	0.293	1.000	dsDNAphage	43394	8	92.000	0.000
NC_047711.1||full	1.000	0.407	1.000	dsDNAphage	40816	9	77.800	0.000
NC_049943.1||full	0.993	0.007	0.993	dsDNAphage	56169	15	79.000	3.700
NC_047722.1||full	1.000	0.173	1.000	dsDNAphage	137093	32	88.000	0.500
