contig,kaiju_match_ratio,keep_score_all,keep_score_high_recall,keep_score_high_MCC
Aberdeen_Man_0000230,NA,2,2,1
Aberdeen_Man_0000231,0.012315270935960592,4,4,3
Aberdeen_Man_0000239,0.010317920938930806,1.5,1.5,1.5
Aberdeen_Man_0000244,0.009122670807453416,1,2,0
Aberdeen_Man_0000246,NA,2,2,2
Aberdeen_Man_0000251,NA,-1,1,-1
Aberdeen_Man_0000255,NA,2,2,1.5
Aberdeen_Man_0000260,NA,2,2,1
Aberdeen_Man_0000261,NA,1.5,2.5,1
Aberdeen_Man_0000263,0.025066844919786096,0.5,0.5,0.5
Aberdeen_Man_0000272,0.007641330808763862,2.5,2.5,2.5
Aberdeen_Man_0000276,0.007624753216692763,2.5,2.5,1.5
Aberdeen_Man_0000283,NA,2.5,2.5,1.5
Aberdeen_Man_0000286,NA,2,2,1.5
Aberdeen_Man_0000288,NA,1,1,1
Aberdeen_Man_0000289,NA,2.5,2.5,2
Aberdeen_Man_0000291,NA,2,2,2
Aberdeen_Man_0000295,0.010310744506861978,2,2,2
Aberdeen_Man_0000297,NA,3,3,2
Aberdeen_Man_0000303,0.010783608914450037,3,3,2
Aberdeen_Man_0000306,NA,2,2,1
Aberdeen_Man_0000313,NA,2.5,2.5,1.5
Aberdeen_Man_0000319,0.011632160362864876,2,2,1.5
Aberdeen_Man_0000320,0.008857979502196193,2.5,2.5,1.5
Aberdeen_Man_0000321,NA,2.5,2.5,1.5
Aberdeen_Man_0000332,NA,2.5,2.5,1.5
Aberdeen_Man_0000333,NA,3,3,2
Aberdeen_Man_0000339,NA,2,2,1
Aberdeen_Man_0000342,NA,1.5,1.5,1
Aberdeen_Man_0000343,NA,2.5,2.5,1.5
Aberdeen_Man_0000358,0.013873901649452751,2,2,1.5
Aberdeen_Man_0000360,NA,1.5,2.5,0.5
Aberdeen_Man_0000366,NA,1.5,1.5,1.5
Aberdeen_Man_0000368,0.020963704630788487,2,2,2
Aberdeen_Man_0000369,NA,2.5,2.5,1.5
Aberdeen_Man_0000373,0.01770816936880214,1.5,1.5,1.5
Aberdeen_Man_0000379,NA,1.5,1.5,1.5
Aberdeen_Man_0000382,NA,2,2,1
Aberdeen_Man_0000389,NA,1,2,0
Aberdeen_Man_0000397,0.011958997722095672,2.5,2.5,1.5
Aberdeen_Man_0000399,NA,2.5,2.5,1.5
Aberdeen_Man_0000403,0.09031993437243642,-1.5,0.5,-1.5
Aberdeen_Man_0000413,NA,1.5,1.5,1
Aberdeen_Man_0000415,0.050028990308953865,0.5,0.5,0.5
Aberdeen_Man_0000416,0.0165809981760902,2.5,2.5,1.5
Aberdeen_Man_0000418,0.009561819240043236,3,3,2
Aberdeen_Man_0000421,NA,1.5,1.5,1
Aberdeen_Man_0000426,NA,0.5,2.5,-0.5
Aberdeen_Man_0000428,NA,4,4,3
Aberdeen_Man_0000434,NA,0.5,1.5,0.5
Aberdeen_Man_0000435,NA,1.5,2.5,0.5
Aberdeen_Man_0000445,0.010116731517509728,3.5,3.5,2.5
Aberdeen_Man_0000448,NA,3,3,2
Aberdeen_Man_0000449,0.031995144368334345,-1.5,0.5,-1.5
Aberdeen_Man_0000458,NA,2.5,2.5,1.5
Aberdeen_Man_0000459,NA,2,2,1
Aberdeen_Man_0000461,0.011302900201524578,1,1,1
Aberdeen_Man_0000465,0.014857142857142857,4,4,3
Aberdeen_Man_0000467,NA,3.5,3.5,2.5
Aberdeen_Man_0000468,NA,2,2,1
Aberdeen_Man_0000472,0.010171590306032196,3.5,3.5,2.5
Aberdeen_Man_0000490,0.021360973411446597,2,2,1
Aberdeen_Man_0000494,NA,2,2,1
Aberdeen_Man_0000502,NA,3.5,3.5,2.5
Aberdeen_Man_0000504,NA,2,2,1
Aberdeen_Man_0000520,0.13123553910226746,-1.5,0.5,-1.5
Aberdeen_Man_0000527,0.013288727813400241,2,2,1
Aberdeen_Man_0000529,NA,2.5,2.5,2.5
Aberdeen_Man_0000530,NA,3,3,2
Aberdeen_Man_0000538,NA,1.5,1.5,1.5
Aberdeen_Man_0000541,NA,2,2,1.5
Aberdeen_Man_0000547,0.011356108640105991,2.5,2.5,1.5
Aberdeen_Man_0000549,NA,1.5,1.5,1.5
Aberdeen_Man_0000554,0.02073031570939521,3.5,3.5,2.5
Aberdeen_Man_0000559,0.04200800152409983,-1,1,-1
Aberdeen_Man_0000560,NA,1,1,1
Aberdeen_Man_0000562,NA,2.5,2.5,1.5
Aberdeen_Man_0000565,0.012377662636729994,2.5,2.5,1.5
Aberdeen_Man_0000567,0.17579886767104885,-1.5,0.5,-1.5
Aberdeen_Man_0000574,0.035459626132202736,2.5,2.5,1.5
Aberdeen_Man_0000576,NA,2.5,2.5,1.5
Aberdeen_Man_0000583,0.013697299397707403,2.5,2.5,1.5
Aberdeen_Man_0000584,NA,2.5,2.5,1.5
Aberdeen_Man_0000591,NA,2.5,2.5,1.5
Aberdeen_Man_0000595,NA,2.5,2.5,1.5
Aberdeen_Man_0000600,0.01096319498825372,1,3,0
Aberdeen_Man_0000604,NA,1.5,2.5,0.5
Aberdeen_Man_0000610,NA,1,1,0.5
Aberdeen_Man_0000614,0.02208795562599049,1.5,1.5,1.5
Aberdeen_Man_0000615,NA,2.5,2.5,1.5
Aberdeen_Man_0000618,0.02705917335712162,2.5,2.5,1.5
Aberdeen_Man_0000621,NA,3,3,2
Aberdeen_Man_0000627,NA,3,3,2.5
Aberdeen_Man_0000631,NA,2.5,2.5,1.5
Aberdeen_Man_0000632,0.01121121121121121,2.5,2.5,1.5
Aberdeen_Man_0000643,NA,2,2,1
Aberdeen_Man_0000646,NA,2,2,1.5
Aberdeen_Man_0000647,0.013562753036437248,2,2,1
Aberdeen_Man_0000650,NA,2,2,1
Aberdeen_Man_0000652,0.01176232001622389,2.5,2.5,2.5
Aberdeen_Man_0000658,NA,1,1,1
Aberdeen_Man_0000662,0.016838452903357486,3.5,3.5,2.5
Aberdeen_Man_0000663,0.01157668271693474,1,1,1
Aberdeen_Man_0000667,0.014172743144705761,3,3,2
Aberdeen_Man_0000668,NA,2.5,2.5,1.5
Aberdeen_Man_0000670,NA,2.5,2.5,1.5
Aberdeen_Man_0000673,0.011811023622047244,0,2,-1
Aberdeen_Man_0000676,NA,2.5,2.5,2.5
Aberdeen_Man_0000678,NA,2,2,1
Aberdeen_Man_0000684,NA,3,3,2
Aberdeen_Man_0000691,NA,3.5,3.5,2.5
Aberdeen_Man_0000692,0.013811865648215967,1.5,1.5,1.5
Aberdeen_Man_0000693,NA,2,2,1.5
Aberdeen_Man_0000723,NA,3,3,2
Aberdeen_Man_0000724,0.011690934211924752,-1,1,-1
Aberdeen_Man_0000728,0.0135293490998189,3.5,3.5,2.5
Aberdeen_Man_0000739,0.01178739819974282,4,4,3
Aberdeen_Man_0000743,NA,2.5,2.5,1.5
Aberdeen_Man_0000751,NA,2,2,1
Aberdeen_Man_0000755,0.01581284522906964,2.5,2.5,2.5
Aberdeen_Man_0000760,0.013466550825369244,2.5,2.5,1.5
Aberdeen_Man_0000762,NA,1.5,1.5,1.5
Aberdeen_Man_0000764,NA,0.5,1.5,0.5
Aberdeen_Man_0000778,NA,3.5,3.5,2.5
Aberdeen_Man_0000781,0.016481705307109108,2,2,1.5
Aberdeen_Man_0000782,NA,1,1,1
Aberdeen_Man_0000783,NA,2,2,1
Aberdeen_Man_0000784,NA,3.5,3.5,2.5
Aberdeen_Man_0000788,0.07498348381413786,-1.5,0.5,-1.5
Aberdeen_Man_0000800,NA,3,3,3
Aberdeen_Man_0000804,0.018093018093018092,3,3,2
Aberdeen_Man_0000806,0.016247496105052304,-1,1,-1
Aberdeen_Man_0000809,NA,0.5,0.5,0.5
Aberdeen_Man_0000825,NA,1.5,1.5,1
Aberdeen_Man_0000832,0.01983545587738082,3,3,2
Aberdeen_Man_0000833,NA,2.5,2.5,1.5
Aberdeen_Man_0000835,NA,1,1,1
Aberdeen_Man_0000838,NA,2.5,2.5,1.5
Aberdeen_Man_0000839,NA,2.5,2.5,1.5
Aberdeen_Man_0000854,0.025979945305378303,-1.5,0.5,-1.5
Aberdeen_Man_0000858,NA,3.5,3.5,2.5
Aberdeen_Man_0000860,NA,2.5,2.5,1.5
Aberdeen_Man_0000864,NA,1.5,2.5,1
Aberdeen_Man_0000867,NA,4,4,3
Aberdeen_Man_0000874,NA,4,4,3
Aberdeen_Man_0000875,NA,2.5,2.5,1.5
Aberdeen_Man_0000876,0.016216216216216217,2,3,1
Aberdeen_Man_0000893,0.03537872636585083,-1,1,-1
Aberdeen_Man_0000897,0.021140666744105006,1,1,1
Aberdeen_Man_0000901,0.036018183937521854,-1.5,0.5,-1.5
Aberdeen_Man_0000906,0.016153576027156738,3,3,2
Aberdeen_Man_0000908,0.1388596183116731,-1.5,0.5,-1.5
Aberdeen_Man_0000911,NA,2,2,1
Aberdeen_Man_0000917,0.028682261666862583,1,1,1
Aberdeen_Man_0000922,0.017562470532767563,2.5,2.5,1.5
Aberdeen_Man_0000924,0.02229825389334592,2.5,2.5,2
Aberdeen_Man_0000930,NA,2,2,1.5
Aberdeen_Man_0000933,0.015075973409306742,1.5,1.5,1.5
Aberdeen_Man_0000946,0.02572385738214884,-1,1,-1
Aberdeen_Man_0000950,NA,2.5,2.5,1.5
Aberdeen_Man_0000957,NA,1,2,0
Aberdeen_Man_0000958,0.019475835537388797,3.5,3.5,2.5
Aberdeen_Man_0000960,0.038392104946443614,-1.5,0.5,-1.5
Aberdeen_Man_0000962,0.021102134330157965,2,2,1
Aberdeen_Man_0000968,NA,-1,1,-1
Aberdeen_Man_0000975,NA,0.5,1.5,0
Aberdeen_Man_0000976,0.014336046652897583,3.5,3.5,2.5
Aberdeen_Man_0000983,NA,2,2,1
Aberdeen_Man_0000987,NA,0,1,0
Aberdeen_Man_0000993,NA,1.5,1.5,1
Aberdeen_Man_0000994,0.013553474618038443,1.5,2.5,0.5
Aberdeen_Man_0000996,0.08612617052735337,-1.5,0.5,-1.5
Aberdeen_Man_0001002,NA,3,3,2
Aberdeen_Man_0001012,0.018233688910940214,2,2,1
Aberdeen_Man_0001015,NA,2.5,2.5,1.5
Aberdeen_Man_0001020,NA,2.5,2.5,1.5
Aberdeen_Man_0001024,NA,3.5,3.5,2.5
Aberdeen_Man_0001026,NA,3,3,2
Aberdeen_Man_0001036,NA,2.5,2.5,1.5
Aberdeen_Man_0001037,0.02497803439186645,2.5,2.5,1.5
Aberdeen_Man_0001041,NA,3.5,3.5,2.5
Aberdeen_Man_0001043,0.02076777847702958,3.5,3.5,2.5
Aberdeen_Man_0001046,NA,1.5,2.5,0.5
Aberdeen_Man_0001053,0.01627554882664648,3.5,3.5,2.5
Aberdeen_Man_0001062,NA,1.5,1.5,1
Aberdeen_Man_0001063,NA,2.5,2.5,1.5
Aberdeen_Man_0001070,NA,2,2,1
Aberdeen_Man_0001075,NA,2,2,1
Aberdeen_Man_0001079,NA,2,2,1
Aberdeen_Man_0001089,NA,1.5,2.5,0.5
Aberdeen_Man_0001093,0.01566110397946085,1.5,1.5,1.5
Aberdeen_Man_0001097,0.09267602007980436,-1.5,0.5,-1.5
Aberdeen_Man_0001101,0.029396596183599792,-1.5,0.5,-1.5
Aberdeen_Man_0001103,NA,1.5,1.5,1
Aberdeen_Man_0001112,NA,0,2,-1
Aberdeen_Man_0001117,NA,3,3,2.5
Aberdeen_Man_0001119,0.031395952257394916,-1.5,0.5,-1.5
Aberdeen_Man_0001123,NA,1.5,1.5,1
Aberdeen_Man_0001130,0.016697104096008348,2.5,2.5,1.5
Aberdeen_Man_0001131,NA,1.5,1.5,1.5
Aberdeen_Man_0001134,NA,1,2,0
Aberdeen_Man_0001138,NA,3,3,2
Aberdeen_Man_0001142,NA,0.5,1.5,0
Aberdeen_Man_0001144,0.014325141280063083,-1.5,0.5,-1.5
Aberdeen_Man_0001148,0.019615587151132177,0,1,0
Aberdeen_Man_0001150,0.014748485646563076,1.5,1.5,0.5
Aberdeen_Man_0001156,0.01690215238346758,3.5,3.5,2.5
Aberdeen_Man_0001171,0.01621477937267411,2,2,1
Aberdeen_Man_0001179,NA,2.5,2.5,1.5
Aberdeen_Man_0001183,NA,2,2,1.5
Aberdeen_Man_0001198,0.017162778224725127,2.5,2.5,1.5
Aberdeen_Man_0001203,NA,3,3,2
Aberdeen_Man_0001208,NA,2,2,1
Aberdeen_Man_0001219,NA,2.5,2.5,1.5
Aberdeen_Man_0001254,NA,1,1,1
Aberdeen_Man_0001268,0.01581843191196699,3,3,2
Aberdeen_Man_0001274,NA,2,2,1.5
Aberdeen_Man_0001275,0.029922779922779922,1,1,1
Aberdeen_Man_0001284,NA,1,1,1
Aberdeen_Man_0001287,NA,3,3,2
Aberdeen_Man_0001305,NA,2,2,1.5
Aberdeen_Man_0001312,NA,1,1,1
Aberdeen_Man_0001318,NA,0.5,1.5,0.5
Aberdeen_Man_0001336,NA,3.5,3.5,2.5
Aberdeen_Man_0001342,NA,3.5,3.5,3
Aberdeen_Man_0001344,NA,1.5,2.5,0.5
Aberdeen_Man_0001345,0.032805429864253395,-1.5,0.5,-1.5
Aberdeen_Man_0001356,NA,2.5,2.5,1.5
Aberdeen_Man_0001358,0.02046908315565032,-1,1,-1
Aberdeen_Man_0001362,NA,1,1,1
Aberdeen_Man_0001369,NA,0.5,1.5,0.5
Aberdeen_Man_0001375,NA,1,2,1
Aberdeen_Man_0001378,0.10408338092518561,-1.5,0.5,-1.5
Aberdeen_Man_0001407,NA,2.5,2.5,2
Aberdeen_Man_0001417,NA,2.5,2.5,2.5
Aberdeen_Man_0001434,NA,1,1,1
Aberdeen_Man_0001441,NA,2.5,2.5,1.5
Aberdeen_Man_0001442,0.056150124615159065,-1.5,0.5,-1.5
Aberdeen_Man_0001452,NA,0.5,1.5,0.5
Aberdeen_Man_0001456,NA,1,1,1
Aberdeen_Man_0001467,NA,2,2,1
Aberdeen_Man_0001469,0.022418879056047197,2.5,2.5,1.5
Aberdeen_Man_0001471,0.022586359610274578,2,2,1
Aberdeen_Man_0001474,NA,1,1,1
Aberdeen_Man_0001483,0.02768729641693811,3.5,3.5,2.5
Aberdeen_Man_0001492,0.02065072054672411,2,2,1.5
Aberdeen_Man_0001502,0.016810473073490033,2,2,1
Aberdeen_Man_0001506,0.039761727475800444,-1.5,0.5,-1.5
Aberdeen_Man_0001513,NA,1,1,1
Aberdeen_Man_0001521,NA,1.5,1.5,1.5
Aberdeen_Man_0001528,0.1583995204555672,-1.5,0.5,-1.5
Aberdeen_Man_0001531,NA,3,3,2
Aberdeen_Man_0001559,NA,2.5,2.5,1.5
Aberdeen_Man_0001561,0.02224912971091267,3,3,2
Aberdeen_Man_0001568,NA,1.5,2.5,0.5
Aberdeen_Man_0001569,NA,1.5,1.5,1.5
Aberdeen_Man_0001578,NA,3,3,2
Aberdeen_Man_0001579,0.018693009118541035,-1,1,-1
Aberdeen_Man_0001601,NA,2.5,2.5,1.5
Aberdeen_Man_0001604,NA,2,2,1
Aberdeen_Man_0001608,NA,2,2,1
Aberdeen_Man_0001614,NA,2.5,2.5,2
Aberdeen_Man_0001617,0.027803379416282643,0,2,-1
Aberdeen_Man_0001621,0.016910069177555727,2,3,1
Aberdeen_Man_0001643,0.05583992554676594,-1.5,0.5,-1.5
Aberdeen_Man_0001650,0.03295507539250738,2,2,1.5
Aberdeen_Man_0001651,0.024409203980099502,1.5,1.5,1.5
Aberdeen_Man_0001654,0.06843988178565874,-1,1,-1
Aberdeen_Man_0001663,NA,3,3,2
Aberdeen_Man_0001667,NA,1.5,2.5,0.5
Aberdeen_Man_0001668,NA,3,3,2
Aberdeen_Man_0001672,0.022787576088653037,2,2,1
Aberdeen_Man_0001673,0.024668227946916473,1.5,1.5,1.5
Aberdeen_Man_0001694,NA,2,2,1
Aberdeen_Man_0001695,NA,2.5,2.5,1.5
Aberdeen_Man_0001696,0.019524484333175877,2.5,2.5,2.5
Aberdeen_Man_0001697,0.02015748031496063,2.5,2.5,1.5
Aberdeen_Man_0001703,NA,1.5,1.5,1.5
Aberdeen_Man_0001707,NA,-1,1,-1
Aberdeen_Man_0001709,0.05219041594179978,-1.5,0.5,-1.5
Aberdeen_Man_0001711,NA,3,3,2
Aberdeen_Man_0001715,0.05021384444796452,-1.5,0.5,-1.5
Aberdeen_Man_0001733,0.03866348448687351,2.5,2.5,1.5
Aberdeen_Man_0001734,NA,1,1,1
Aberdeen_Man_0001735,NA,2.5,2.5,1.5
Aberdeen_Man_0001740,NA,2.5,2.5,1.5
Aberdeen_Man_0001764,0.026019916479280435,2,2,1.5
Aberdeen_Man_0001766,0.11479099678456592,-1.5,0.5,-1.5
Aberdeen_Man_0001767,NA,1,1,1
Aberdeen_Man_0001771,0.11644387179900145,-1.5,0.5,-1.5
Aberdeen_Man_0001775,NA,0,2,-1
Aberdeen_Man_0001778,NA,2.5,2.5,1.5
Aberdeen_Man_0001787,0.053857350800582245,-1,1,-1
Aberdeen_Man_0001792,NA,2.5,2.5,2
Aberdeen_Man_0001823,NA,1,2,0.5
Aberdeen_Man_0001825,NA,1,1,1
Aberdeen_Man_0001828,NA,1.5,1.5,1.5
Aberdeen_Man_0001837,NA,3.5,3.5,2.5
Aberdeen_Man_0001838,0.037729658792650916,1.5,1.5,0.5
Aberdeen_Man_0001843,NA,2.5,2.5,1.5
Aberdeen_Man_0001859,NA,2.5,2.5,2.5
Aberdeen_Man_0001867,0.020381110190555097,3.5,3.5,2.5
Aberdeen_Man_0001871,NA,0.5,1.5,0
Aberdeen_Man_0001874,NA,2.5,2.5,2
Aberdeen_Man_0001876,NA,2,2,1
Aberdeen_Man_0001894,NA,1,2,0
Aberdeen_Man_0001902,NA,2.5,2.5,1.5
Aberdeen_Man_0001904,NA,1.5,2.5,0.5
Aberdeen_Man_0001919,0.0394121576486306,-1.5,0.5,-1.5
Aberdeen_Man_0001931,NA,3.5,3.5,2.5
Aberdeen_Man_0001933,NA,2,2,1
Aberdeen_Man_0001940,0.026501174102650116,2,2,1
Aberdeen_Man_0001942,NA,-1.5,0.5,-1.5
Aberdeen_Man_0001943,NA,2,3,1
Aberdeen_Man_0001950,NA,1.5,2.5,0.5
Aberdeen_Man_0001970,0.0260840108401084,-1.5,0.5,-1.5
Aberdeen_Man_0001972,NA,2.5,2.5,1.5
Aberdeen_Man_0001987,NA,1.5,2.5,0.5
Aberdeen_Man_0001989,0.031159543674442364,1.5,1.5,1.5
Aberdeen_Man_0002009,NA,0.5,1.5,0
Aberdeen_Man_0002024,NA,2.5,2.5,2.5
Aberdeen_Man_0002028,0.04204564956238201,2.5,2.5,1.5
Aberdeen_Man_0002033,0.0196078431372549,2.5,2.5,1.5
Aberdeen_Man_0002037,0.20829746944396627,-1.5,0.5,-1.5
Aberdeen_Man_0002039,0.025482093663911846,2.5,2.5,1.5
Aberdeen_Man_0002040,0.043575611436445054,0.5,0.5,0.5
Aberdeen_Man_0002045,0.019482758620689655,3,3,2
Aberdeen_Man_0002055,NA,-1.5,0.5,-1.5
Aberdeen_Man_0002056,0.019393939393939394,2,2,1.5
Aberdeen_Man_0002059,0.02390852390852391,1.5,1.5,1.5
Aberdeen_Man_0002065,NA,2.5,2.5,1.5
Aberdeen_Man_0002072,NA,2,3,1
Aberdeen_Man_0002075,NA,1.5,1.5,1.5
Aberdeen_Man_0002100,NA,1.5,1.5,1
Aberdeen_Man_0002107,NA,2,2,1.5
Aberdeen_Man_0002109,0.029808872523233387,3,3,2
Aberdeen_Man_0002124,0.02305932054215807,1.5,1.5,1.5
Aberdeen_Man_0002152,0.10122318737812444,-1.5,0.5,-1.5
Aberdeen_Man_0002162,0.02344582593250444,-1.5,0.5,-1.5
Aberdeen_Man_0002163,NA,2.5,2.5,1.5
Aberdeen_Man_0002171,NA,0.5,0.5,0.5
Aberdeen_Man_0002174,NA,2,2,1
Aberdeen_Man_0002178,NA,2,2,1
Aberdeen_Man_0002182,NA,1,2,0
Aberdeen_Man_0002189,NA,2.5,2.5,2
Aberdeen_Man_0002194,NA,3,3,2.5
Aberdeen_Man_0002196,0.030865298840321142,2.5,2.5,1.5
Aberdeen_Man_0002198,0.09955396966993756,-1.5,0.5,-1.5
Aberdeen_Man_0002200,NA,2,2,2
Aberdeen_Man_0002212,0.07103238504204688,-1,1,-1
Aberdeen_Man_0002220,NA,2.5,2.5,1.5
